Sample temperature (C),Heat flow (mW)
94.009,-1.20449
94.062,-1.20496
94.11,-1.20543
94.162,-1.2059
94.208,-1.20637
94.263,-1.20684
94.309,-1.20732
94.358,-1.20779
94.409,-1.20826
94.459,-1.20872
94.508,-1.20918
94.559,-1.20964
94.611,-1.21009
94.656,-1.21054
94.707,-1.21099
94.756,-1.21144
94.808,-1.21189
94.863,-1.21235
94.911,-1.21281
94.963,-1.21327
95.012,-1.21373
95.056,-1.21419
95.11,-1.21465
95.16,-1.2151
95.209,-1.21554
95.259,-1.21598
95.306,-1.21641
95.362,-1.21684
95.412,-1.21726
95.46,-1.21768
95.51,-1.21808
95.558,-1.21849
95.607,-1.21888
95.658,-1.21928
95.71,-1.21968
95.756,-1.22008
95.81,-1.22049
95.857,-1.22091
95.909,-1.22135
95.961,-1.22179
96.008,-1.22224
96.063,-1.2227
96.11,-1.22316
96.156,-1.22362
96.21,-1.22408
96.257,-1.22454
96.307,-1.22499
96.356,-1.22544
96.405,-1.22588
96.457,-1.22631
96.506,-1.22674
96.559,-1.22716
96.608,-1.22757
96.657,-1.22798
96.705,-1.22838
96.76,-1.22878
96.808,-1.22917
96.856,-1.22955
96.908,-1.22994
96.958,-1.23032
97.01,-1.23071
97.057,-1.23108
97.106,-1.23146
97.158,-1.23182
97.205,-1.23218
97.26,-1.23254
97.309,-1.2329
97.356,-1.23325
97.406,-1.23361
97.454,-1.23396
97.504,-1.23432
97.561,-1.23468
97.606,-1.23505
97.656,-1.23541
97.705,-1.23578
97.758,-1.23614
97.808,-1.23651
97.855,-1.23687
97.907,-1.23723
97.957,-1.23759
98.003,-1.23795
98.056,-1.23831
98.109,-1.23868
98.155,-1.23905
98.207,-1.23942
98.255,-1.23979
98.304,-1.24015
98.358,-1.24052
98.407,-1.24088
98.456,-1.24124
98.505,-1.2416
98.553,-1.24197
98.602,-1.24234
98.658,-1.24271
98.705,-1.24309
98.755,-1.24348
98.805,-1.24386
98.854,-1.24425
98.905,-1.24463
98.957,-1.24501
99.006,-1.24539
99.054,-1.24577
99.102,-1.24614
99.16,-1.24651
99.205,-1.24687
99.256,-1.24723
99.305,-1.24758
99.353,-1.24793
99.405,-1.24828
99.455,-1.24862
99.506,-1.24897
99.553,-1.24932
99.602,-1.24967
99.654,-1.25002
99.708,-1.25037
99.754,-1.25072
99.802,-1.25106
99.852,-1.25141
99.905,-1.25175
99.951,-1.25208
100.002,-1.25242
100.052,-1.25277
100.105,-1.25312
100.154,-1.25348
100.204,-1.25386
100.255,-1.25423
100.302,-1.25461
100.354,-1.25499
100.398,-1.25538
100.452,-1.25576
100.503,-1.25614
100.556,-1.25652
100.603,-1.25689
100.655,-1.25726
100.702,-1.25762
100.752,-1.25798
100.805,-1.25832
100.852,-1.25867
100.906,-1.259
100.951,-1.25933
101.001,-1.25965
101.053,-1.25996
101.105,-1.26027
101.153,-1.26057
101.2,-1.26087
101.257,-1.26116
101.308,-1.26145
101.355,-1.26173
101.401,-1.26202
101.453,-1.26231
101.503,-1.2626
101.552,-1.26289
101.601,-1.26319
101.648,-1.26351
101.701,-1.26383
101.751,-1.26416
101.797,-1.2645
101.856,-1.26484
101.901,-1.26518
101.95,-1.26553
101.999,-1.26588
102.047,-1.26622
102.1,-1.26656
102.151,-1.2669
102.202,-1.26724
102.251,-1.26756
102.299,-1.26788
102.352,-1.2682
102.397,-1.26852
102.451,-1.26883
102.501,-1.26914
102.551,-1.26945
102.599,-1.26975
102.65,-1.27005
102.7,-1.27036
102.75,-1.27067
102.8,-1.27098
102.845,-1.27129
102.903,-1.2716
102.949,-1.27192
103.0,-1.27223
103.053,-1.27254
103.098,-1.27285
103.149,-1.27316
103.203,-1.27347
103.252,-1.27378
103.301,-1.27408
103.35,-1.27439
103.397,-1.2747
103.448,-1.27501
103.5,-1.27532
103.55,-1.27562
103.598,-1.27592
103.649,-1.27622
103.695,-1.27651
103.749,-1.2768
103.801,-1.27709
103.851,-1.27738
103.899,-1.27767
103.947,-1.27797
103.997,-1.27826
104.045,-1.27855
104.099,-1.27884
104.153,-1.27913
104.194,-1.27942
104.249,-1.27971
104.296,-1.27999
104.349,-1.28026
104.401,-1.28053
104.452,-1.28078
104.499,-1.28103
104.549,-1.28127
104.598,-1.28151
104.652,-1.28175
104.699,-1.28199
104.746,-1.28224
104.798,-1.2825
104.849,-1.28276
104.903,-1.28303
104.945,-1.28331
104.999,-1.28358
105.046,-1.28386
105.095,-1.28414
105.148,-1.28441
105.197,-1.28469
105.25,-1.28496
105.297,-1.28523
105.346,-1.28549
105.398,-1.28575
105.447,-1.286
105.496,-1.28624
105.546,-1.28647
105.598,-1.2867
105.647,-1.28693
105.698,-1.28716
105.744,-1.2874
105.8,-1.28764
105.848,-1.28789
105.898,-1.28814
105.949,-1.28841
106.0,-1.28869
106.049,-1.28898
106.094,-1.28928
106.145,-1.28958
106.196,-1.2899
106.248,-1.29021
106.302,-1.29053
106.346,-1.29085
106.398,-1.29117
106.446,-1.29148
106.494,-1.29178
106.547,-1.29207
106.595,-1.29234
106.643,-1.2926
106.695,-1.29285
106.744,-1.29309
106.798,-1.29332
106.847,-1.29355
106.894,-1.29377
106.942,-1.29399
106.996,-1.29421
107.044,-1.29444
107.096,-1.29467
107.145,-1.2949
107.195,-1.29514
107.244,-1.29539
107.296,-1.29564
107.346,-1.29589
107.398,-1.29615
107.444,-1.29641
107.494,-1.29667
107.543,-1.29693
107.597,-1.29719
107.645,-1.29745
107.693,-1.2977
107.743,-1.29795
107.791,-1.29818
107.842,-1.2984
107.897,-1.29862
107.948,-1.29884
107.994,-1.29905
108.044,-1.29926
108.094,-1.29947
108.142,-1.29969
108.193,-1.29991
108.242,-1.30013
108.293,-1.30036
108.339,-1.3006
108.396,-1.30085
108.442,-1.3011
108.492,-1.30136
108.544,-1.30163
108.591,-1.30191
108.644,-1.30219
108.697,-1.30247
108.739,-1.30276
108.794,-1.30305
108.842,-1.30334
108.89,-1.30362
108.945,-1.30391
108.991,-1.30418
109.042,-1.30446
109.092,-1.30472
109.143,-1.30498
109.195,-1.30523
109.247,-1.30548
109.294,-1.30573
109.341,-1.30598
109.389,-1.30623
109.438,-1.30648
109.496,-1.30673
109.542,-1.30699
109.593,-1.30725
109.644,-1.3075
109.689,-1.30776
109.745,-1.30801
109.795,-1.30826
109.843,-1.30851
109.892,-1.30875
109.943,-1.30898
109.991,-1.30921
110.045,-1.30942
110.09,-1.30963
110.144,-1.30984
110.187,-1.31004
110.242,-1.31024
110.29,-1.31043
110.343,-1.31064
110.389,-1.31086
110.441,-1.31109
110.488,-1.31133
110.538,-1.31158
110.59,-1.31184
110.641,-1.31209
