Time (min),Temperature (°C),Heat Flow (W/g)
0.13,25.85,-0.0617440948
0.14,25.86,-0.0626689682
0.14,25.88,-0.0636259880
0.14,25.89,-0.0644053955
0.14,25.9,-0.0652274017
0.14,25.92,-0.0659439316
0.14,25.93,-0.0669895554
0.14,25.94,-0.0678833160
0.15,25.96,-0.0686772385
0.15,25.97,-0.0692452698
0.15,25.98,-0.0699305878
0.15,26,-0.0704778900
0.15,26.01,-0.0711117477
0.16,26.02,-0.0718942490
0.16,26.04,-0.0724745407
0.16,26.05,-0.0731535797
0.16,26.07,-0.0738476334
0.16,26.08,-0.0745791092
0.16,26.09,-0.0752680054
0.16,26.11,-0.0759952393
0.17,26.12,-0.0766045151
0.17,26.14,-0.0774556580
0.17,26.15,-0.0780524445
0.17,26.16,-0.0788231049
0.17,26.18,-0.0794421997
0.18,26.19,-0.0801127167
0.18,26.21,-0.0806456604
0.18,26.22,-0.0813561249
0.18,26.23,-0.0817662735
0.18,26.25,-0.0824392395
0.18,26.26,-0.0832011948
0.19,26.28,-0.0837156219
0.19,26.29,-0.0843632889
0.19,26.31,-0.0847929840
0.19,26.32,-0.0853369904
0.19,26.33,-0.0858552475
0.19,26.35,-0.0863675385
0.19,26.36,-0.0868043671
0.2,26.38,-0.0876387558
0.2,26.39,-0.0881990814
0.2,26.41,-0.0890052109
0.2,26.42,-0.0894895172
0.2,26.44,-0.0900332947
0.21,26.45,-0.0906899490
0.21,26.46,-0.0912256165
0.21,26.48,-0.0916418762
0.21,26.5,-0.0922256622
0.21,26.51,-0.0925377502
0.21,26.52,-0.0928813477
0.21,26.54,-0.0934480438
0.22,26.55,-0.0939717560
0.22,26.57,-0.0945867081
0.22,26.58,-0.0951652069
0.22,26.6,-0.0955897369
0.22,26.61,-0.0960389862
0.23,26.63,-0.0965073166
0.23,26.64,-0.0968509369
0.23,26.66,-0.0973061905
0.23,26.67,-0.0978412857
0.23,26.69,-0.0983291931
0.23,26.7,-0.0987661362
0.24,26.72,-0.0992159195
0.24,26.74,-0.0999044647
0.24,26.75,-0.1005333557
0.24,26.76,-0.1011654892
0.24,26.78,-0.1015764618
0.24,26.79,-0.1020564423
0.24,26.81,-0.1024979782
0.25,26.82,-0.1029246445
0.25,26.84,-0.1033250351
0.25,26.86,-0.1036837997
0.25,26.87,-0.1040894547
0.25,26.89,-0.1042693176
0.26,26.9,-0.1047739029
0.26,26.92,-0.1050287018
0.26,26.93,-0.1053816910
0.26,26.95,-0.1057690201
0.26,26.96,-0.1060703583
0.26,26.98,-0.1065159607
0.26,27,-0.1068396835
0.27,27.01,-0.1071290588
0.27,27.03,-0.1075289764
0.27,27.04,-0.1079660187
0.27,27.06,-0.1083910675
0.27,27.07,-0.1089087982
0.28,27.09,-0.1090907822
0.28,27.1,-0.1094907990
0.28,27.12,-0.1099342422
0.28,27.13,-0.1103323517
0.28,27.15,-0.1108034592
0.28,27.16,-0.1110797424
0.29,27.18,-0.1113952866
0.29,27.2,-0.1118147736
0.29,27.21,-0.1120372086
0.29,27.23,-0.1123713608
0.29,27.24,-0.1127095566
0.29,27.26,-0.1127868118
0.3,27.27,-0.1130065231
0.3,27.29,-0.1131776505
0.3,27.31,-0.1134973221
0.3,27.32,-0.1139271469
0.3,27.34,-0.1142876892
0.3,27.35,-0.1147074203
0.3,27.37,-0.1151108475
0.31,27.38,-0.1154935379
0.31,27.4,-0.1157587814
0.31,27.41,-0.1159698257
0.31,27.43,-0.1162708206
0.31,27.45,-0.1165678635
0.31,27.46,-0.1168249435
0.32,27.48,-0.1169123230
0.32,27.49,-0.1170687561
0.32,27.51,-0.1172911453
0.32,27.53,-0.1175238190
0.32,27.54,-0.1177238312
0.33,27.56,-0.1179910736
0.33,27.57,-0.1183125763
0.33,27.59,-0.1186264496
0.33,27.6,-0.1189602737
0.33,27.62,-0.1191869659
0.33,27.64,-0.1194574509
0.34,27.65,-0.1196562119
0.34,27.67,-0.1198601532
0.34,27.68,-0.1199889374
0.34,27.7,-0.1200857239
0.34,27.71,-0.1201747665
0.34,27.73,-0.1202292557
0.35,27.75,-0.1203664627
0.35,27.76,-0.1205624542
0.35,27.78,-0.1208190155
0.35,27.79,-0.1210578842
0.35,27.81,-0.1213091812
0.35,27.83,-0.1216434326
0.35,27.84,-0.1220160751
0.36,27.86,-0.1224024048
0.36,27.87,-0.1227594833
0.36,27.89,-0.1230237579
0.36,27.9,-0.1231762009
0.36,27.92,-0.1232485123
0.36,27.94,-0.1232846222
0.37,27.95,-0.1233534088
0.37,27.97,-0.1234022827
0.37,27.99,-0.1234219818
0.37,28,-0.1234760056
0.37,28.02,-0.1236071243
0.38,28.03,-0.1237868729
0.38,28.05,-0.1240283203
0.38,28.07,-0.1242870712
0.38,28.08,-0.1245158463
0.38,28.1,-0.1246918411
0.38,28.11,-0.1248791885
0.39,28.13,-0.1250311279
0.39,28.15,-0.1251872711
0.39,28.16,-0.1253318787
0.39,28.18,-0.1254942093
0.39,28.19,-0.1256623688
0.39,28.21,-0.1258200684
0.4,28.23,-0.1259319305
0.4,28.24,-0.1260569305
0.4,28.26,-0.1262032089
0.4,28.27,-0.1262966309
0.4,28.29,-0.1264001312
0.4,28.31,-0.1265380783
0.4,28.32,-0.1266626358
0.41,28.34,-0.1267751541
0.41,28.35,-0.1268697205
0.41,28.37,-0.1269631958
0.41,28.39,-0.1270902863
0.41,28.4,-0.1271762085
0.41,28.42,-0.1273031540
0.42,28.43,-0.1274312363
0.42,28.45,-0.1275248871
0.42,28.47,-0.1276389389
0.42,28.48,-0.1277182465
0.42,28.5,-0.1278138351
0.43,28.52,-0.1279243469
0.43,28.53,-0.1280298615
0.43,28.55,-0.1281527557
0.43,28.56,-0.1282802582
0.43,28.58,-0.1283931885
0.43,28.6,-0.1285072937
0.44,28.61,-0.1286135712
0.44,28.63,-0.1287306824
0.44,28.64,-0.1288694000
0.44,28.66,-0.1289706421
0.44,28.68,-0.1290770569
0.44,28.69,-0.1291700745
0.45,28.71,-0.1292769012
0.45,28.73,-0.1293841248
0.45,28.74,-0.1294520721
0.45,28.76,-0.1295344543
0.45,28.77,-0.1296086578
0.45,28.79,-0.1296709595
0.45,28.81,-0.1297114563
0.46,28.82,-0.1297725525
0.46,28.84,-0.1298369751
0.46,28.86,-0.1298840637
0.46,28.87,-0.1299116669
0.46,28.89,-0.1299416504
0.46,28.9,-0.1299868164
0.47,28.92,-0.1300402222
0.47,28.94,-0.1301246185
0.47,28.95,-0.1302026520
0.47,28.97,-0.1302956085
0.47,28.98,-0.1304012756
0.48,29,-0.1305363312
0.48,29.02,-0.1306603241
0.48,29.03,-0.1307401733
0.48,29.05,-0.1308097229
0.48,29.07,-0.1308764343
0.48,29.08,-0.1309501495
0.49,29.1,-0.1310215149
0.49,29.11,-0.1311026154
0.49,29.13,-0.1311796417
0.49,29.15,-0.1312238312
0.49,29.17,-0.1312713928
0.49,29.18,-0.1313127136
0.5,29.2,-0.1313549652
0.5,29.21,-0.1313878937
0.5,29.23,-0.1314148712
0.5,29.24,-0.1314434662
0.5,29.26,-0.1314702759
0.5,29.28,-0.1315059052
0.5,29.29,-0.1315527191
0.51,29.31,-0.1316021423
0.51,29.33,-0.1316450500
0.51,29.34,-0.1316832275
0.51,29.36,-0.1317191162
0.51,29.38,-0.1317584229
0.51,29.39,-0.1317863770
0.52,29.41,-0.1318110657
0.52,29.42,-0.1318361969
0.52,29.44,-0.1318630981
0.52,29.46,-0.1318906860
0.52,29.47,-0.1319069366
0.53,29.49,-0.1319203033
0.53,29.51,-0.1319485474
0.53,29.52,-0.1319716644
0.53,29.54,-0.1319882813
0.53,29.55,-0.1320168915
0.53,29.57,-0.1320530243
0.53,29.59,-0.1320976105
0.54,29.6,-0.1321469727
0.54,29.62,-0.1322068787
0.54,29.64,-0.1322573395
0.54,29.65,-0.1322964935
0.54,29.67,-0.1323328857
0.55,29.68,-0.1323828583
0.55,29.7,-0.1324214172
0.55,29.72,-0.1324504242
0.55,29.73,-0.1324891815
0.55,29.75,-0.1325250092
0.55,29.77,-0.1325542297
0.55,29.78,-0.1325857391
0.56,29.8,-0.1326132202
0.56,29.82,-0.1326331635
0.56,29.83,-0.1326517944
0.56,29.85,-0.1326790771
0.56,29.87,-0.1327071533
0.57,29.88,-0.1327363892
0.57,29.9,-0.1327667694
0.57,29.91,-0.1328074799
0.57,29.93,-0.1328601990
0.57,29.95,-0.1329123688
0.57,29.96,-0.1329429932
0.58,29.98,-0.1329665680
0.58,30,-0.1329900360
0.58,30.01,-0.1330056915
0.58,30.03,-0.1330218506
0.58,30.04,-0.1330440979
0.58,30.06,-0.1330612793
0.58,30.08,-0.1330773468
0.59,30.09,-0.1330940094
0.59,30.11,-0.1331135254
0.59,30.13,-0.1331342773
0.59,30.14,-0.1331570435
0.59,30.16,-0.1331802521
0.6,30.17,-0.1332038269
0.6,30.19,-0.1332302094
0.6,30.21,-0.1332681580
0.6,30.22,-0.1333084259
0.6,30.24,-0.1333433838
0.6,30.26,-0.1333657227
0.6,30.27,-0.1333845215
0.61,30.29,-0.1334015808
0.61,30.31,-0.1334190369
0.61,30.32,-0.1334396210
0.61,30.34,-0.1334622040
0.61,30.35,-0.1334813995
0.62,30.37,-0.1335101166
0.62,30.39,-0.1335480347
0.62,30.41,-0.1335825500
0.62,30.42,-0.1336151123
0.62,30.44,-0.1336406860
0.62,30.45,-0.1336607361
0.63,30.47,-0.1336819000
0.63,30.49,-0.1337001190
0.63,30.5,-0.1337180023
0.63,30.52,-0.1337376862
0.63,30.53,-0.1337562714
0.63,30.55,-0.1337740021
0.63,30.57,-0.1337928162
0.64,30.59,-0.1338127289
0.64,30.6,-0.1338328705
0.64,30.62,-0.1338539429
0.64,30.63,-0.1338805389
0.64,30.65,-0.1339031830
0.65,30.67,-0.1339239044
0.65,30.68,-0.1339435120
0.65,30.7,-0.1339634399
0.65,30.72,-0.1339839935
0.65,30.73,-0.1340045319
0.65,30.75,-0.1340253296
0.65,30.77,-0.1340462494
0.66,30.78,-0.1340664673
0.66,30.8,-0.1340877380
0.66,30.81,-0.1341103516
0.66,30.83,-0.1341381531
0.66,30.85,-0.1341586609
0.67,30.86,-0.1341842194
0.67,30.88,-0.1342043304
0.67,30.9,-0.1342269287
0.67,30.91,-0.1342458801
0.67,30.93,-0.1342661133
0.67,30.95,-0.1342855072
0.68,30.96,-0.1343061829
0.68,30.98,-0.1343267670
0.68,30.99,-0.1343472900
0.68,31.01,-0.1343674316
0.68,31.03,-0.1343866730
0.68,31.04,-0.1344055634
0.68,31.06,-0.1344239807
0.69,31.08,-0.1344439240
0.69,31.09,-0.1344647675
0.69,31.11,-0.1344836884
0.69,31.13,-0.1345042877
0.69,31.14,-0.1345259399
0.7,31.16,-0.1345470581
0.7,31.18,-0.1345667725
0.7,31.19,-0.1345856781
0.7,31.21,-0.1346035767
0.7,31.23,-0.1346217041
0.7,31.24,-0.1346408081
0.7,31.26,-0.1346618195
0.71,31.28,-0.1346833344
0.71,31.29,-0.1347056885
0.71,31.31,-0.1347275848
0.71,31.33,-0.1347501221
0.71,31.34,-0.1347717743
0.72,31.36,-0.1347936096
0.72,31.37,-0.1348148956
0.72,31.39,-0.1348350067
0.72,31.41,-0.1348545074
0.72,31.42,-0.1348737793
0.72,31.44,-0.1348930664
0.73,31.46,-0.1349123077
0.73,31.47,-0.1349320068
0.73,31.49,-0.1349523163
0.73,31.51,-0.1349732666
0.73,31.52,-0.1349942932
0.73,31.54,-0.1350156403
0.73,31.55,-0.1350366211
0.74,31.57,-0.1350575562
0.74,31.59,-0.1350776672
0.74,31.6,-0.1350982513
0.74,31.62,-0.1351191559
0.74,31.64,-0.1351391449
0.75,31.65,-0.1351585999
0.75,31.67,-0.1351786499
0.75,31.69,-0.1351984863
0.75,31.7,-0.1352186279
0.75,31.72,-0.1352383575
0.75,31.74,-0.1352577515
0.75,31.75,-0.1352766266
0.76,31.77,-0.1352954712
0.76,31.78,-0.1353150482
0.76,31.8,-0.1353350983
0.76,31.82,-0.1353551941
0.76,31.83,-0.1353764648
0.77,31.85,-0.1353983612
0.77,31.87,-0.1354197235
0.77,31.88,-0.1354401703
0.77,31.9,-0.1354598236
0.77,31.92,-0.1354802246
0.77,31.93,-0.1354996643
0.78,31.95,-0.1355172729
0.78,31.97,-0.1355358582
0.78,31.98,-0.1355543518
0.78,32,-0.1355723114
0.78,32.01,-0.1355898285
0.78,32.03,-0.1356086273
0.78,32.05,-0.1356268158
0.79,32.07,-0.1356447144
0.79,32.08,-0.1356618042
0.79,32.1,-0.1356806793
0.79,32.11,-0.1356994019
0.79,32.13,-0.1357187042
0.8,32.15,-0.1357371063
0.8,32.16,-0.1357560730
0.8,32.18,-0.1357740173
0.8,32.2,-0.1357907715
0.8,32.21,-0.1358077850
0.8,32.23,-0.1358262329
0.8,32.25,-0.1358440857
0.81,32.26,-0.1358627167
0.81,32.28,-0.1358819733
0.81,32.3,-0.1359002075
0.81,32.31,-0.1359183807
0.81,32.33,-0.1359360046
0.82,32.34,-0.1359532623
0.82,32.36,-0.1359697571
0.82,32.38,-0.1359857483
0.82,32.39,-0.1360010681
0.82,32.41,-0.1360163422
0.82,32.43,-0.1360314331
0.83,32.44,-0.1360476685
0.83,32.46,-0.1360647125
0.83,32.48,-0.1360821991
0.83,32.49,-0.1360988617
0.83,32.51,-0.1361157990
0.83,32.53,-0.1361333618
0.83,32.54,-0.1361512909
0.84,32.56,-0.1361694031
0.84,32.58,-0.1361880798
0.84,32.59,-0.1362058868
0.84,32.61,-0.1362234802
0.84,32.63,-0.1362421722
0.85,32.64,-0.1362605133
0.85,32.66,-0.1362777100
0.85,32.67,-0.1362947693
0.85,32.69,-0.1363117676
0.85,32.71,-0.1363289337
0.85,32.72,-0.1363452301
0.85,32.74,-0.1363617249
0.86,32.76,-0.1363769226
0.86,32.77,-0.1363932343
0.86,32.79,-0.1364099579
0.86,32.81,-0.1364266357
0.86,32.82,-0.1364438171
0.87,32.84,-0.1364621887
0.87,32.86,-0.1364806519
0.87,32.87,-0.1365000305
0.87,32.89,-0.1365192566
0.87,32.91,-0.1365391083
0.87,32.92,-0.1365586395
0.88,32.94,-0.1365761871
0.88,32.96,-0.1365928955
0.88,32.97,-0.1366090240
0.88,32.99,-0.1366249237
0.88,33,-0.1366407166
0.88,33.02,-0.1366559753
0.88,33.04,-0.1366711273
0.89,33.05,-0.1366862946
0.89,33.07,-0.1367022247
0.89,33.09,-0.1367188263
0.89,33.1,-0.1367336426
0.89,33.12,-0.1367491608
0.9,33.14,-0.1367639771
0.9,33.15,-0.1367792511
0.9,33.17,-0.1367960510
0.9,33.19,-0.1368132935
0.9,33.2,-0.1368298950
0.9,33.22,-0.1368451538
0.9,33.24,-0.1368596497
0.91,33.25,-0.1368759003
0.91,33.27,-0.1368923492
0.91,33.29,-0.1369086914
0.91,33.3,-0.1369256134
0.91,33.32,-0.1369433136
0.92,33.33,-0.1369597473
0.92,33.35,-0.1369756622
0.92,33.37,-0.1369916382
0.92,33.38,-0.1370077209
0.92,33.4,-0.1370240631
0.92,33.42,-0.1370393677
0.93,33.44,-0.1370545502
0.93,33.45,-0.1370704803
0.93,33.47,-0.1370864410
0.93,33.48,-0.1371010284
0.93,33.5,-0.1371165771
0.93,33.52,-0.1371308746
0.93,33.53,-0.1371452332
0.94,33.55,-0.1371580811
0.94,33.57,-0.1371725769
0.94,33.58,-0.1371869812
0.94,33.6,-0.1372012177
0.94,33.62,-0.1372150574
0.95,33.63,-0.1372293243
0.95,33.65,-0.1372434082
0.95,33.67,-0.1372572174
0.95,33.68,-0.1372712555
0.95,33.7,-0.1372856293
0.95,33.72,-0.1372994385
0.95,33.73,-0.1373131104
0.96,33.75,-0.1373262787
0.96,33.76,-0.1373399200
0.96,33.78,-0.1373555298
0.96,33.8,-0.1373709869
0.96,33.82,-0.1373854523
0.97,33.83,-0.1374002991
0.97,33.85,-0.1374154510
0.97,33.87,-0.1374299469
0.97,33.88,-0.1374448242
0.97,33.9,-0.1374604492
0.97,33.91,-0.1374772339
0.98,33.93,-0.1374932556
0.98,33.95,-0.1375080261
0.98,33.96,-0.1375226135
0.98,33.98,-0.1375356293
0.98,34,-0.1375483704
0.98,34.01,-0.1375623016
0.98,34.03,-0.1375763245
0.99,34.05,-0.1375877686
0.99,34.06,-0.1375983124
0.99,34.08,-0.1376098938
0.99,34.1,-0.1376236572
0.99,34.11,-0.1376377258
1,34.13,-0.1376531219
1,34.15,-0.1376679382
1,34.16,-0.1376828918
1,34.18,-0.1376980286
1,34.2,-0.1377133179
1,34.21,-0.1377289429
1,34.23,-0.1377449646
1.01,34.25,-0.1377598877
1.01,34.26,-0.1377754822
1.01,34.28,-0.1377893219
1.01,34.3,-0.1378023224
1.01,34.31,-0.1378144531
1.02,34.33,-0.1378269806
1.02,34.35,-0.1378387146
1.02,34.36,-0.1378511810
1.02,34.38,-0.1378649139
1.02,34.39,-0.1378801117
1.02,34.41,-0.1378956146
1.03,34.43,-0.1379111633
1.03,34.44,-0.1379271545
1.03,34.46,-0.1379423828
1.03,34.48,-0.1379565125
1.03,34.49,-0.1379699402
1.03,34.51,-0.1379841614
1.03,34.53,-0.1379967499
1.04,34.54,-0.1380101776
1.04,34.56,-0.1380226746
1.04,34.58,-0.1380348511
1.04,34.59,-0.1380486755
1.04,34.61,-0.1380631104
1.05,34.63,-0.1380755920
1.05,34.64,-0.1380883179
1.05,34.66,-0.1381001587
1.05,34.68,-0.1381103821
1.05,34.69,-0.1381205139
1.05,34.71,-0.1381308289
1.05,34.73,-0.1381425171
1.06,34.74,-0.1381557007
1.06,34.76,-0.1381692810
1.06,34.77,-0.1381830902
1.06,34.79,-0.1381973877
1.06,34.81,-0.1382120514
1.07,34.83,-0.1382269440
1.07,34.84,-0.1382423096
1.07,34.86,-0.1382570801
1.07,34.87,-0.1382706451
1.07,34.89,-0.1382844391
1.07,34.91,-0.1382983093
1.08,34.92,-0.1383113556
1.08,34.94,-0.1383237762
1.08,34.96,-0.1383350983
1.08,34.97,-0.1383452759
1.08,34.99,-0.1383553162
1.08,35.01,-0.1383659973
1.08,35.02,-0.1383794098
1.09,35.04,-0.1383922119
1.09,35.06,-0.1384054565
1.09,35.07,-0.1384184113
1.09,35.09,-0.1384303894
1.09,35.11,-0.1384419708
1.09,35.12,-0.1384531403
1.1,35.14,-0.1384644012
1.1,35.16,-0.1384754181
1.1,35.17,-0.1384846039
1.1,35.19,-0.1384947815
1.1,35.21,-0.1385068054
1.11,35.22,-0.1385193939
1.11,35.24,-0.1385323944
1.11,35.26,-0.1385455475
1.11,35.27,-0.1385576630
1.11,35.29,-0.1385691833
1.11,35.31,-0.1385814819
1.12,35.32,-0.1385944672
1.12,35.34,-0.1386064148
1.12,35.36,-0.1386177826
1.12,35.37,-0.1386282043
1.12,35.39,-0.1386384430
1.12,35.4,-0.1386498260
1.13,35.42,-0.1386616974
1.13,35.44,-0.1386742249
1.13,35.45,-0.1386857605
1.13,35.47,-0.1386959686
1.13,35.49,-0.1387086945
1.13,35.5,-0.1387225952
1.13,35.52,-0.1387368164
1.14,35.54,-0.1387503815
1.14,35.55,-0.1387633362
1.14,35.57,-0.1387736664
1.14,35.59,-0.1387837524
1.14,35.6,-0.1387958374
1.14,35.62,-0.1388081512
1.15,35.64,-0.1388196869
1.15,35.65,-0.1388298798
1.15,35.67,-0.1388407745
1.15,35.69,-0.1388518066
1.15,35.7,-0.1388625336
1.16,35.72,-0.1388731384
1.16,35.74,-0.1388836365
1.16,35.75,-0.1388934174
1.16,35.77,-0.1389045715
1.16,35.79,-0.1389165039
1.16,35.8,-0.1389307861
1.17,35.82,-0.1389440918
1.17,35.84,-0.1389577026
1.17,35.85,-0.1389718475
1.17,35.87,-0.1389852448
1.17,35.89,-0.1389977264
1.17,35.9,-0.1390088806
1.18,35.92,-0.1390182343
1.18,35.94,-0.1390267487
1.18,35.95,-0.1390367279
1.18,35.97,-0.1390470276
1.18,35.99,-0.1390582275
1.18,36,-0.1390698547
1.18,36.02,-0.1390816650
1.19,36.03,-0.1390938263
1.19,36.05,-0.1391056976
1.19,36.07,-0.1391157379
1.19,36.09,-0.1391269073
1.19,36.1,-0.1391372681
1.19,36.12,-0.1391458588
1.2,36.13,-0.1391562500
1.2,36.15,-0.1391667786
1.2,36.17,-0.1391769867
1.2,36.18,-0.1391877289
1.2,36.2,-0.1391977844
1.21,36.22,-0.1392069244
1.21,36.23,-0.1392153473
1.21,36.25,-0.1392245178
1.21,36.27,-0.1392348785
1.21,36.28,-0.1392447357
1.21,36.3,-0.1392528839
1.22,36.32,-0.1392629089
1.22,36.33,-0.1392737122
1.22,36.35,-0.1392852631
1.22,36.37,-0.1392973633
1.22,36.38,-0.1393100433
1.22,36.4,-0.1393224335
1.23,36.42,-0.1393343658
1.23,36.43,-0.1393454285
1.23,36.45,-0.1393559418
1.23,36.47,-0.1393664551
1.23,36.48,-0.1393770905
1.23,36.5,-0.1393872681
1.23,36.52,-0.1393985596
1.24,36.53,-0.1394100494
1.24,36.55,-0.1394210815
1.24,36.57,-0.1394317932
1.24,36.58,-0.1394400635
1.24,36.6,-0.1394478455
1.24,36.62,-0.1394548645
1.25,36.63,-0.1394623871
1.25,36.65,-0.1394694061
1.25,36.67,-0.1394769287
1.25,36.68,-0.1394848175
1.25,36.7,-0.1394928741
1.26,36.72,-0.1395025024
1.26,36.73,-0.1395120239
1.26,36.75,-0.1395218048
1.26,36.76,-0.1395328827
1.26,36.78,-0.1395448761
1.26,36.8,-0.1395578156
1.27,36.82,-0.1395688934
1.27,36.83,-0.1395802460
1.27,36.85,-0.1395912323
1.27,36.87,-0.1396004486
1.27,36.88,-0.1396106720
1.27,36.9,-0.1396207428
1.28,36.91,-0.1396296082
1.28,36.93,-0.1396370544
1.28,36.95,-0.1396455231
1.28,36.96,-0.1396545563
1.28,36.98,-0.1396644440
1.28,37,-0.1396741791
1.28,37.01,-0.1396826935
1.29,37.03,-0.1396918030
1.29,37.05,-0.1397016449
1.29,37.06,-0.1397107391
1.29,37.08,-0.1397194824
1.29,37.1,-0.1397292023
1.29,37.11,-0.1397388306
1.3,37.13,-0.1397490234
1.3,37.15,-0.1397598877
1.3,37.16,-0.1397708588
1.3,37.18,-0.1397828369
1.3,37.2,-0.1397954407
1.31,37.21,-0.1398060913
1.31,37.23,-0.1398159027
1.31,37.25,-0.1398257141
1.31,37.26,-0.1398356781
1.31,37.28,-0.1398454742
1.31,37.3,-0.1398554382
1.32,37.31,-0.1398649750
1.32,37.33,-0.1398740082
1.32,37.35,-0.1398832855
1.32,37.36,-0.1398926392
1.32,37.38,-0.1399038849
1.32,37.4,-0.1399133759
1.33,37.41,-0.1399231567
1.33,37.43,-0.1399332886
1.33,37.45,-0.1399448700
1.33,37.46,-0.1399569397
1.33,37.48,-0.1399690094
1.33,37.5,-0.1399803619
1.33,37.51,-0.1399920044
1.34,37.53,-0.1400042725
1.34,37.55,-0.1400163574
1.34,37.56,-0.1400282135
1.34,37.58,-0.1400386963
1.34,37.6,-0.1400500488
1.34,37.61,-0.1400607758
1.35,37.63,-0.1400703583
1.35,37.65,-0.1400790710
1.35,37.66,-0.1400886078
1.35,37.68,-0.1400979156
1.35,37.7,-0.1401078644
1.36,37.71,-0.1401169281
1.36,37.73,-0.1401261292
1.36,37.75,-0.1401349640
1.36,37.76,-0.1401418304
1.36,37.78,-0.1401480103
1.36,37.8,-0.1401550293
1.37,37.81,-0.1401620178
1.37,37.83,-0.1401698914
1.37,37.85,-0.1401793823
1.37,37.86,-0.1401900330
1.37,37.88,-0.1402016449
1.37,37.9,-0.1402122040
1.38,37.91,-0.1402226868
1.38,37.93,-0.1402332306
1.38,37.94,-0.1402433624
1.38,37.96,-0.1402525177
1.38,37.98,-0.1402606049
1.38,38,-0.1402667389
1.38,38.01,-0.1402724609
1.39,38.03,-0.1402798462
1.39,38.04,-0.1402885590
1.39,38.06,-0.1402981720
1.39,38.08,-0.1403105164
1.39,38.1,-0.1403239136
1.39,38.11,-0.1403372345
1.4,38.13,-0.1403494720
1.4,38.15,-0.1403616333
1.4,38.16,-0.1403735199
1.4,38.18,-0.1403837738
1.4,38.2,-0.1403933411
1.41,38.21,-0.1404021454
1.41,38.23,-0.1404102020
1.41,38.24,-0.1404167175
1.41,38.26,-0.1404238586
1.41,38.28,-0.1404309387
1.41,38.29,-0.1404383087
1.42,38.31,-0.1404478149
1.42,38.33,-0.1404580383
1.42,38.34,-0.1404684448
1.42,38.36,-0.1404794464
1.42,38.38,-0.1404902802
1.42,38.39,-0.1405024719
1.43,38.41,-0.1405134125
1.43,38.43,-0.1405239105
1.43,38.44,-0.1405350037
1.43,38.46,-0.1405435791
1.43,38.48,-0.1405520630
1.43,38.49,-0.1405614014
1.43,38.51,-0.1405705719
1.44,38.53,-0.1405784454
1.44,38.54,-0.1405858612
1.44,38.56,-0.1405916748
1.44,38.58,-0.1405980072
1.44,38.59,-0.1406046295
1.44,38.61,-0.1406114502
1.45,38.63,-0.1406189270
1.45,38.64,-0.1406269531
1.45,38.66,-0.1406338959
1.45,38.68,-0.1406434326
1.45,38.69,-0.1406522980
1.46,38.71,-0.1406605988
