Time (min),Temperature (°C),Heat Flow (W/g)
0.42,28.42,-0.1483735199
0.42,28.44,-0.1485396576
0.42,28.45,-0.1487329865
0.42,28.47,-0.1489342499
0.42,28.48,-0.1491968689
0.43,28.5,-0.1494173279
0.43,28.52,-0.1495935211
0.43,28.53,-0.1497872925
0.43,28.55,-0.1499902802
0.43,28.56,-0.1502315369
0.43,28.58,-0.1504183044
0.44,28.6,-0.1505292053
0.44,28.61,-0.1506259308
0.44,28.63,-0.1507833099
0.44,28.65,-0.1509748993
0.44,28.66,-0.1511243134
0.44,28.68,-0.1512804260
0.45,28.69,-0.1514369202
0.45,28.71,-0.1515915833
0.45,28.73,-0.1517679596
0.45,28.74,-0.1520172119
0.45,28.76,-0.1523184814
0.45,28.77,-0.1525697784
0.45,28.79,-0.1527795715
0.46,28.81,-0.1529568939
0.46,28.82,-0.1531495361
0.46,28.84,-0.1532896576
0.46,28.85,-0.1533743744
0.46,28.87,-0.1534591827
0.46,28.89,-0.1535794373
0.47,28.9,-0.1536721954
0.47,28.92,-0.1538568420
0.47,28.93,-0.1541065826
0.47,28.95,-0.1543507996
0.47,28.97,-0.1545288239
0.48,28.98,-0.1546866913
0.48,29,-0.1548706055
0.48,29.02,-0.1549757843
0.48,29.03,-0.1550366669
0.48,29.05,-0.1550722809
0.48,29.06,-0.1551301575
0.49,29.08,-0.1551962738
0.49,29.1,-0.1553144989
0.49,29.11,-0.1554469299
0.49,29.13,-0.1555793152
0.49,29.14,-0.1557215729
0.49,29.16,-0.1558834381
0.5,29.18,-0.1560633087
0.5,29.19,-0.1561836395
0.5,29.21,-0.1562909241
0.5,29.23,-0.1563575592
0.5,29.24,-0.1564246674
0.5,29.26,-0.1565164337
0.5,29.28,-0.1565963287
0.51,29.29,-0.1566937714
0.51,29.31,-0.1568141632
0.51,29.32,-0.1569502106
0.51,29.34,-0.1571315918
0.51,29.36,-0.1573095856
0.51,29.37,-0.1575140839
0.52,29.39,-0.1576446991
0.52,29.41,-0.1577340546
0.52,29.42,-0.1578406677
0.52,29.44,-0.1579552765
0.52,29.45,-0.1580470276
0.53,29.47,-0.1581541290
0.53,29.49,-0.1582658081
0.53,29.5,-0.1583618622
0.53,29.52,-0.1584547272
0.53,29.54,-0.1585483246
0.53,29.55,-0.1586692963
0.53,29.57,-0.1587360535
0.54,29.58,-0.1588062286
0.54,29.6,-0.1588762665
0.54,29.62,-0.1589642639
0.54,29.63,-0.1590485687
0.54,29.65,-0.1591352844
0.55,29.67,-0.1592108765
0.55,29.68,-0.1593114777
0.55,29.7,-0.1593843689
0.55,29.72,-0.1594498291
0.55,29.73,-0.1595236511
0.55,29.75,-0.1595924835
0.55,29.76,-0.1596823120
0.56,29.78,-0.1597778015
0.56,29.8,-0.1598617401
0.56,29.81,-0.1599624176
0.56,29.83,-0.1600551147
0.56,29.84,-0.1601270599
0.57,29.86,-0.1602056885
0.57,29.88,-0.1602641754
0.57,29.89,-0.1603459015
0.57,29.91,-0.1604255066
0.57,29.93,-0.1605102081
0.57,29.94,-0.1605920410
0.58,29.96,-0.1606904144
0.58,29.98,-0.1607645721
0.58,29.99,-0.1608327789
0.58,30.01,-0.1608855286
0.58,30.03,-0.1609377594
0.58,30.04,-0.1609991150
0.58,30.06,-0.1610743256
0.59,30.07,-0.1611611633
0.59,30.09,-0.1612366486
0.59,30.11,-0.1612877960
0.59,30.12,-0.1613552399
0.59,30.14,-0.1614290619
0.6,30.15,-0.1614916840
0.6,30.17,-0.1615458374
0.6,30.19,-0.1616043854
0.6,30.2,-0.1616521606
0.6,30.22,-0.1616931763
0.6,30.24,-0.1617278442
0.6,30.25,-0.1617665710
0.61,30.27,-0.1618140869
0.61,30.29,-0.1618791656
0.61,30.3,-0.1619473877
0.61,30.32,-0.1620158234
0.61,30.33,-0.1620788116
0.62,30.35,-0.1621486664
0.62,30.37,-0.1622250366
0.62,30.38,-0.1622908630
0.62,30.4,-0.1623562927
0.62,30.42,-0.1624154053
0.62,30.43,-0.1624794922
0.63,30.45,-0.1625444641
0.63,30.47,-0.1626128693
0.63,30.48,-0.1626681671
0.63,30.5,-0.1627366333
0.63,30.51,-0.1627926941
0.63,30.53,-0.1628478241
0.63,30.55,-0.1628899231
0.64,30.56,-0.1629243927
0.64,30.58,-0.1629432831
0.64,30.6,-0.1629606934
0.64,30.61,-0.1629772034
0.64,30.63,-0.1629908447
0.65,30.64,-0.1630061798
0.65,30.66,-0.1630298615
0.65,30.68,-0.1630513458
0.65,30.7,-0.1630863800
0.65,30.71,-0.1631347656
0.65,30.73,-0.1631930084
0.65,30.74,-0.1632478790
0.66,30.76,-0.1632946014
0.66,30.78,-0.1633419342
0.66,30.79,-0.1634004669
0.66,30.81,-0.1634429016
0.66,30.83,-0.1634716797
0.67,30.84,-0.1635175781
0.67,30.86,-0.1635564270
0.67,30.88,-0.1635935822
0.67,30.89,-0.1636272583
0.67,30.91,-0.1636599426
0.67,30.92,-0.1636871033
0.68,30.94,-0.1637159729
0.68,30.96,-0.1637481384
0.68,30.97,-0.1637830505
0.68,30.99,-0.1638160706
0.68,31.01,-0.1638457794
0.68,31.02,-0.1638825073
0.68,31.04,-0.1639143219
0.69,31.06,-0.1639498901
0.69,31.07,-0.1639978027
0.69,31.09,-0.1640397491
0.69,31.1,-0.1640753784
0.69,31.12,-0.1641060791
0.7,31.14,-0.1641419067
0.7,31.15,-0.1641698456
0.7,31.17,-0.1642037201
0.7,31.19,-0.1642519379
0.7,31.2,-0.1642944794
0.7,31.22,-0.1643238983
0.7,31.24,-0.1643529510
0.71,31.25,-0.1643789978
0.71,31.27,-0.1644072571
0.71,31.29,-0.1644399414
0.71,31.3,-0.1644727478
0.71,31.32,-0.1645036926
0.72,31.33,-0.1645245667
0.72,31.35,-0.1645473328
0.72,31.37,-0.1645790710
0.72,31.38,-0.1646200714
0.72,31.4,-0.1646688232
0.72,31.42,-0.1647157135
0.73,31.43,-0.1647542877
0.73,31.45,-0.1647807922
0.73,31.47,-0.1648087006
0.73,31.48,-0.1648332977
0.73,31.5,-0.1648625946
0.73,31.52,-0.1648806152
0.73,31.53,-0.1648982697
0.74,31.55,-0.1649166718
0.74,31.57,-0.1649385834
0.74,31.58,-0.1649763336
0.74,31.6,-0.1650104218
0.74,31.61,-0.1650415649
0.75,31.63,-0.1650708313
0.75,31.65,-0.1650975342
0.75,31.66,-0.1651197662
0.75,31.68,-0.1651442566
0.75,31.7,-0.1651670990
0.75,31.71,-0.1651870575
0.75,31.73,-0.1652110138
0.76,31.75,-0.1652319031
0.76,31.76,-0.1652584686
0.76,31.78,-0.1652902069
0.76,31.8,-0.1653172302
0.76,31.81,-0.1653498688
0.77,31.83,-0.1653917389
0.77,31.85,-0.1654389496
0.77,31.86,-0.1654724579
0.77,31.88,-0.1655009308
0.77,31.89,-0.1655221863
0.77,31.91,-0.1655457001
0.78,31.93,-0.1655667419
0.78,31.94,-0.1655898285
0.78,31.96,-0.1656113434
0.78,31.98,-0.1656366272
0.78,31.99,-0.1656577606
0.78,32.01,-0.1656784210
0.78,32.03,-0.1656998596
0.79,32.04,-0.1657223053
0.79,32.06,-0.1657438812
0.79,32.08,-0.1657686462
0.79,32.09,-0.1657910156
0.79,32.11,-0.1658154297
0.8,32.13,-0.1658384094
0.8,32.14,-0.1658633423
0.8,32.16,-0.1658866577
0.8,32.17,-0.1659098358
0.8,32.19,-0.1659328918
0.8,32.21,-0.1659636841
0.8,32.22,-0.1659896851
0.81,32.24,-0.1660264893
0.81,32.26,-0.1660687408
0.81,32.27,-0.1661086731
0.81,32.29,-0.1661512146
0.81,32.31,-0.1661776581
0.82,32.32,-0.1662016296
0.82,32.34,-0.1662277832
0.82,32.36,-0.1662511902
0.82,32.37,-0.1662746735
0.82,32.39,-0.1662971802
