Temperaturee (°C),Heat flow (W/g)
78.4678,-0.0817593
78.4836,-0.0817648
78.5002,-0.0817689
78.5174,-0.0817755
78.5335,-0.0817815
78.5507,-0.0817875
78.5674,-0.0817957
78.584,-0.0818051
78.6,-0.0818144
78.6167,-0.0818234
78.6339,-0.0818301
78.6502,-0.0818375
78.6671,-0.0818424
78.6841,-0.0818499
78.7002,-0.0818583
78.7172,-0.0818653
78.7331,-0.0818721
78.7506,-0.0818756
78.767,-0.0818802
78.783,-0.0818856
78.8003,-0.0818904
78.8167,-0.0818936
78.833,-0.0818958
78.8496,-0.0818998
78.866,-0.0819033
78.8827,-0.0819084
78.899,-0.0819168
78.917,-0.0819256
78.933,-0.0819315
78.9499,-0.0819363
78.9675,-0.0819434
78.9837,-0.0819482
79.0002,-0.0819523
79.0166,-0.081956
79.0324,-0.0819602
79.0494,-0.081964
79.0662,-0.0819693
79.0823,-0.0819759
79.0993,-0.0819832
79.1166,-0.0819899
79.1329,-0.0819956
79.1496,-0.0819986
79.1662,-0.082003
79.1831,-0.082006
79.1989,-0.0820093
79.2158,-0.0820094
79.232,-0.0820103
79.2492,-0.0820106
79.2661,-0.0820116
79.2827,-0.0820164
79.2993,-0.0820223
79.3156,-0.0820275
79.3331,-0.0820289
79.3491,-0.0820334
79.3662,-0.0820368
79.3825,-0.082039
79.3986,-0.0820418
79.4161,-0.082047
79.4328,-0.082053
79.4496,-0.0820605
79.4655,-0.082068
79.4826,-0.082076
79.499,-0.0820815
79.5157,-0.0820861
79.5328,-0.0820899
79.5496,-0.0820942
79.5652,-0.0820975
79.5823,-0.0821013
79.5996,-0.0821024
79.6158,-0.0821057
79.6335,-0.0821095
79.6497,-0.0821122
79.6658,-0.0821154
79.682,-0.0821178
79.6991,-0.0821211
79.7153,-0.0821233
79.7326,-0.0821267
79.7496,-0.0821298
79.7655,-0.082133
79.7822,-0.0821341
79.7989,-0.0821349
79.8161,-0.082136
79.8323,-0.0821384
79.8496,-0.0821418
79.8652,-0.0821461
79.8819,-0.0821511
79.8981,-0.0821569
79.9154,-0.0821634
79.9314,-0.0821674
79.9489,-0.0821704
79.9653,-0.0821731
79.982,-0.0821745
79.9987,-0.082176
80.0153,-0.0821759
80.0315,-0.0821751
80.049,-0.0821726
80.0656,-0.0821737
80.0825,-0.0821741
80.0994,-0.0821735
80.1147,-0.0821736
80.1322,-0.0821738
80.1494,-0.0821773
80.1652,-0.0821812
80.1821,-0.0821855
80.1989,-0.0821893
80.2153,-0.0821919
80.233,-0.0821953
80.2481,-0.0822001
80.265,-0.0822046
80.282,-0.0822072
80.2984,-0.0822076
80.3163,-0.082207
80.3317,-0.0822058
80.3486,-0.0822069
80.365,-0.0822092
80.3819,-0.082211
80.3984,-0.0822115
80.4154,-0.0822135
80.4312,-0.0822168
80.4497,-0.0822214
80.4656,-0.0822261
80.4822,-0.0822299
80.4992,-0.0822331
80.516,-0.0822357
80.5325,-0.082237
80.549,-0.0822387
80.5656,-0.0822385
80.582,-0.0822379
80.5985,-0.0822366
80.615,-0.0822383
80.632,-0.0822399
80.6483,-0.0822453
80.6649,-0.0822509
80.6824,-0.0822553
80.6991,-0.0822583
80.7161,-0.0822611
80.7324,-0.0822661
80.749,-0.0822674
80.765,-0.0822648
80.7815,-0.0822612
80.7985,-0.0822615
80.8153,-0.0822609
80.8313,-0.0822602
80.8484,-0.082257
80.8646,-0.0822552
80.8815,-0.0822538
80.899,-0.0822539
80.9142,-0.082255
80.9313,-0.0822566
80.9482,-0.0822583
80.9648,-0.0822581
80.9821,-0.0822578
80.9977,-0.0822579
81.0149,-0.0822575
81.0318,-0.0822568
81.048,-0.0822568
81.0642,-0.0822561
81.0814,-0.0822569
81.097,-0.082259
81.115,-0.0822623
81.1318,-0.0822642
81.1486,-0.0822635
81.1652,-0.0822601
81.1811,-0.0822567
81.1978,-0.0822535
81.2146,-0.082252
81.2312,-0.0822502
81.2471,-0.0822481
81.2641,-0.082244
81.2812,-0.0822438
81.2977,-0.0822449
81.3136,-0.0822483
81.3316,-0.0822514
81.3473,-0.0822545
81.3645,-0.0822571
