Temperaturee (°C),Heat flow (W/g)
77.7229,-0.247767
77.7403,-0.247802
77.7571,-0.247834
77.7733,-0.247858
77.7893,-0.247883
77.8068,-0.247901
77.822,-0.24792
77.8396,-0.247943
77.8561,-0.247972
77.8725,-0.248003
77.8897,-0.248035
77.9058,-0.24807
77.9223,-0.248103
77.939,-0.248136
77.9563,-0.248171
77.9728,-0.248204
77.9896,-0.248241
78.0059,-0.24828
78.0227,-0.248316
78.0401,-0.248357
78.0551,-0.248397
78.0734,-0.24843
78.09,-0.248459
78.1061,-0.248483
78.1228,-0.248513
78.1394,-0.248546
78.1561,-0.248574
78.1722,-0.248603
78.1891,-0.248631
78.2059,-0.248657
78.2219,-0.248678
78.2395,-0.248702
78.2561,-0.248729
78.2726,-0.248757
78.2895,-0.248787
78.3059,-0.248811
78.3216,-0.248833
78.3394,-0.248856
78.3561,-0.248881
78.372,-0.248902
78.3888,-0.248928
78.4059,-0.248957
78.4217,-0.248988
78.4389,-0.249016
78.4553,-0.249048
78.472,-0.24908
78.4888,-0.249108
78.5055,-0.249141
78.5227,-0.249175
78.5393,-0.249208
78.5552,-0.249238
78.5725,-0.249271
78.5901,-0.249301
78.6058,-0.249332
78.6228,-0.249356
78.6391,-0.249377
78.6561,-0.249398
78.6718,-0.249417
78.6891,-0.24944
78.7052,-0.249456
78.7226,-0.249481
78.7399,-0.249511
78.7553,-0.249542
78.7726,-0.249568
78.7885,-0.249597
78.8047,-0.249618
78.8213,-0.24963
78.8393,-0.249649
78.8552,-0.249662
78.8718,-0.249679
78.8876,-0.249692
78.9053,-0.249709
78.9221,-0.249729
78.9383,-0.249761
78.9554,-0.249787
78.9714,-0.249813
78.9895,-0.249832
79.0054,-0.24985
79.0224,-0.249868
79.0381,-0.249879
79.0555,-0.249886
79.0714,-0.249889
79.089,-0.24989
79.1048,-0.249897
79.1213,-0.249911
79.1378,-0.249924
79.1543,-0.249942
79.1712,-0.249961
79.1881,-0.249984
79.2048,-0.250009
79.2212,-0.250035
79.238,-0.250064
79.2548,-0.250092
79.271,-0.250112
79.2879,-0.25013
79.3046,-0.250145
79.3211,-0.250158
79.3376,-0.250172
79.3542,-0.250182
79.3711,-0.250188
79.3879,-0.250198
79.4041,-0.250206
79.4204,-0.250216
79.4369,-0.250227
79.4533,-0.250239
79.4703,-0.250246
79.4874,-0.250266
79.5043,-0.250286
79.5205,-0.250301
79.5377,-0.250308
79.5537,-0.250315
79.5713,-0.250325
79.5874,-0.250333
79.6031,-0.250337
79.6198,-0.250347
79.6364,-0.250358
79.6541,-0.250369
79.6703,-0.250382
79.6871,-0.250393
79.7036,-0.250403
79.7199,-0.250411
79.7373,-0.250419
79.7539,-0.250428
79.7702,-0.250442
79.7865,-0.250455
79.803,-0.250465
79.8205,-0.250473
79.8363,-0.250483
79.8535,-0.250491
79.8698,-0.250496
79.8867,-0.250494
79.9037,-0.250492
79.9202,-0.250496
79.9364,-0.250497
79.9531,-0.250501
79.9693,-0.250512
79.9863,-0.250519
80.0039,-0.250528
80.0201,-0.250542
80.036,-0.250556
80.0531,-0.25057
80.07,-0.250571
80.0864,-0.250566
80.1034,-0.250562
80.1203,-0.25056
80.1366,-0.250559
80.1539,-0.250566
80.169,-0.250572
80.1862,-0.25058
80.2031,-0.25059
80.2194,-0.250604
80.2368,-0.250616
80.2534,-0.250624
80.2704,-0.250628
80.2864,-0.25063
80.3027,-0.250634
80.3195,-0.250641
80.3362,-0.250648
80.3533,-0.250651
80.3702,-0.250653
80.3867,-0.25066
80.4037,-0.250663
80.4203,-0.250665
80.4361,-0.250667
80.4526,-0.250667
