Wavenumber (cm-1),Intensity
1051.01,9.59E-04
1051.98,0.00107043
1052.94,0.00116251
1053.91,0.00121199
1054.87,0.00124427
1055.84,0.00131305
1056.8,0.00145923
1057.76,0.00167872
1058.73,0.0019229
1059.69,0.00212948
1060.66,0.00226106
1061.62,0.00232324
1062.59,0.00235132
1063.55,0.0023784
1064.51,0.00241138
1065.48,0.00243476
1066.44,0.00243634
1067.41,0.00243222
1068.37,0.0024682
1069.34,0.00259459
1070.3,0.00283026
1071.26,0.00314484
1072.23,0.00347003
1073.19,0.00373221
1074.16,0.00388539
1075.12,0.00392707
1076.08,0.00388965
1077.05,0.00382043
1078.01,0.00376291
1078.98,0.00374729
1079.94,0.00378987
1080.91,0.00389685
1081.87,0.00406563
1082.83,0.00428491
1083.8,0.0045336
1084.76,0.00478248
1085.73,0.00500195
1086.69,0.00517084
1087.66,0.00528732
1088.62,0.0053706
1089.58,0.00545348
1090.55,0.00556716
1091.51,0.00572564
1092.48,0.00592182
1093.44,0.006137
1094.41,0.00636118
1095.37,0.00660696
1096.33,0.00690974
1097.3,0.00730882
1098.26,0.00782361
1099.23,0.00843689
1100.19,0.00910037
1101.15,0.00975505
1102.12,0.0103568
1103.08,0.010887
1104.05,0.0113439
1105.01,0.0117214
1105.98,0.0119953
1106.94,0.01213
1107.9,0.0121042
1108.87,0.01194
1109.83,0.0117097
1110.8,0.0115128
1111.76,0.0114307
1112.73,0.0114868
1113.69,0.0116347
1114.65,0.0117813
1115.62,0.0118312
1116.58,0.0117253
1117.55,0.0114565
1118.51,0.0110582
1119.48,0.0105815
1120.44,0.0100762
1121.4,0.00958294
1122.37,0.00913482
1123.33,0.0087597
1124.3,0.00847879
1125.26,0.00830277
1126.22,0.00823004
1127.19,0.00824983
1128.15,0.00834841
1129.12,0.00851519
1130.08,0.00874377
1131.05,0.00903025
1132.01,0.00936893
1132.97,0.00975151
1133.94,0.0101691
1134.9,0.0106166
1135.87,0.0110928
1136.83,0.0115953
1137.8,0.0121113
1138.76,0.0126093
1139.72,0.0130448
1140.69,0.0133786
1141.65,0.0136056
1142.62,0.0137774
1143.58,0.0140041
1144.55,0.0144316
1145.51,0.0152025
1146.47,0.0164191
1147.44,0.0181227
1148.4,0.0202888
1149.37,0.022833
1150.33,0.0256173
1151.29,0.028458
1152.26,0.0311449
1153.22,0.0334795
1154.19,0.0353275
1155.15,0.0366654
1156.12,0.0375936
1157.08,0.0383035
1158.04,0.0390063
1159.01,0.0398546
1159.97,0.0408896
1160.94,0.0420349
1161.9,0.043135
1162.87,0.0440144
1163.83,0.0445289
1164.79,0.0445827
1165.76,0.044113
1166.72,0.043062
1167.69,0.0413652
1168.65,0.038974
1169.62,0.0359022
1170.58,0.032267
1171.54,0.0282958
1172.51,0.0242874
1173.47,0.0205417
1174.44,0.0172883
1175.4,0.014642
1176.36,0.0126012
1177.33,0.0110833
1178.29,0.0099727
1179.26,0.00915959
1180.22,0.00855997
1181.19,0.00811784
1182.15,0.00779803
1183.11,0.00757491
1184.08,0.00742409
1185.04,0.00731867
1186.01,0.00723635
1186.97,0.00717143
1187.94,0.00714401
1188.9,0.00719339
1189.86,0.00735637
1190.83,0.00764195
1191.79,0.00801913
1192.76,0.00843081
1193.72,0.0088251
1194.69,0.00918618
1195.65,0.00954496
1196.61,0.00995894
1197.58,0.0104765
1198.54,0.0111024
1199.51,0.0117891
1200.47,0.012456
1201.43,0.0130261
1202.4,0.0134581
1203.36,0.0137575
1204.33,0.0139627
1205.29,0.0141182
1206.26,0.0142524
1207.22,0.0143737
1208.18,0.0144845
1209.15,0.0146014
1210.11,0.0147665
1211.08,0.0150396
1212.04,0.0154784
1213.01,0.0161188
1213.97,0.0169695
1214.93,0.018023
1215.9,0.0192717
1216.86,0.0207192
1217.83,0.0223805
1218.79,0.0242767
1219.76,0.0264323
1220.72,0.0288776
1221.68,0.0316515
1222.65,0.0347992
1223.61,0.0383607
1224.58,0.042355
1225.54,0.0467673
1226.51,0.0515476
1227.47,0.056621
1228.43,0.0618995
1229.4,0.0672899
1230.36,0.0726932
1231.33,0.0780004
1232.29,0.0830913
1233.25,0.0878379
1234.22,0.0921143
1235.18,0.0958075
1236.15,0.0988336
1237.11,0.101148
1238.08,0.10275
1239.04,0.103679
1240,0.103986
1240.97,0.10372
1241.93,0.102906
1242.9,0.101565
1243.86,0.0997091
1244.83,0.0973573
1245.79,0.0945365
1246.75,0.0912826
1247.72,0.0876538
1248.68,0.0837253
1249.65,0.0795865
1250.61,0.0753207
1251.58,0.0709899
1252.54,0.0666351
1253.5,0.0622909
1254.47,0.0580018
1255.43,0.053824
1256.4,0.0498156
1257.36,0.0460289
1258.32,0.042516
1259.29,0.0393429
1260.25,0.0365949
1261.22,0.0343593
1262.18,0.0326946
1263.15,0.0316052
1264.11,0.0310405
1265.07,0.0309131
1266.04,0.0311236
1267,0.0315805
1267.97,0.0322101
1268.93,0.0329559
1269.9,0.0337667
1270.86,0.0345842
1271.82,0.0353363
1272.79,0.0359468
1273.75,0.0363516
1274.72,0.0365131
1275.68,0.0364195
1276.65,0.0360741
1277.61,0.0354829
1278.57,0.0346473
1279.54,0.0335684
1280.5,0.0322569
1281.47,0.0307454
1282.43,0.0290948
1283.39,0.0273908
1284.36,0.0257332
1285.32,0.0242186
1286.29,0.0229206
1287.25,0.0218711
1288.22,0.0210495
1289.18,0.0203926
1290.14,0.0198245
1291.11,0.0192911
1292.07,0.0187823
1293.04,0.0183288
1294,0.0179858
1294.97,0.0178137
1295.93,0.0178664
1296.89,0.0181894
1297.86,0.0188236
1298.82,0.0198029
1299.79,0.021143
1300.75,0.0228237
1301.72,0.0247759
1302.68,0.0268818
1303.64,0.0289854
1304.61,0.0309104
1305.57,0.0324822
1306.54,0.0335609
1307.5,0.0340737
1308.46,0.0340245
1309.43,0.0334702
1310.39,0.0324797
1311.36,0.0311102
1312.32,0.0294146
1313.29,0.0274639
1314.25,0.0253532
1315.21,0.0231779
1316.18,0.0210026
1317.14,0.0188555
1318.11,0.0167507
1319.07,0.0147175
1320.04,0.0128078
1321,0.011075
1321.96,0.00954673
1322.93,0.00822131
1323.89,0.00708029
1324.86,0.00610157
1325.82,0.00526425
1326.79,0.00454683
1327.75,0.00392801
1328.71,0.00339019
1329.68,0.00292088
1330.64,0.00250967
1331.61,0.00214407
1332.57,0.00180996
1333.53,0.00149927
1334.5,0.00121889
1335.46,9.92E-04
1336.43,8.52E-04
1337.39,8.20E-04
1338.36,8.79E-04
1339.32,9.56E-04
1340.28,9.60E-04
1341.25,8.55E-04
1342.21,6.76E-04
1343.18,4.80E-04
1344.14,3.09E-04
1345.11,1.83E-04
1346.07,1.05E-04
1347.03,7.37E-05
1348,6.40E-05
1348.96,8.62E-05
1349.93,1.37E-04
1350.89,2.04E-04
1351.86,2.77E-04
1352.82,3.52E-04
1353.78,4.33E-04
1354.75,5.22E-04
1355.71,6.07E-04
1356.68,6.66E-04
1357.64,6.80E-04
1358.61,6.52E-04
1359.57,6.11E-04
1360.53,6.15E-04
1361.5,7.22E-04
1362.46,9.46E-04
1363.43,0.00122406
1364.39,0.00147155
1365.35,0.00164874
1366.32,0.00176921
1367.28,0.0018628
1368.25,0.00194945
1369.21,0.00203519
1370.18,0.00212662
1371.14,0.00224671
1372.1,0.00243753
1373.07,0.00273694
1374.03,0.00313352
1375,0.00353774
1375.96,0.00383033
1376.93,0.00395355
1377.89,0.00393442
1378.85,0.00383871
1379.82,0.00372581
1380.78,0.00363104
1381.75,0.00356619
1382.71,0.00353303
1383.68,0.00354115
1384.64,0.00361979
1385.6,0.00381129
1386.57,0.00413393
1387.53,0.00452967
1388.5,0.00487772
1389.46,0.00509717
1390.42,0.00520423
1391.39,0.00527968
1392.35,0.00542453
1393.32,0.00574008
