Wavenumber (cm-1),Intensity
1400.07,0.00648444
1401.03,0.00670882
1402,0.00686624
1402.96,0.00700313
1403.92,0.00715443
1404.89,0.00732513
1405.85,0.00748294
1406.82,0.00758216
1407.78,0.00760107
1408.75,0.00755267
1409.71,0.00746701
1410.67,0.00737055
1411.64,0.00727629
1412.6,0.007187
1413.57,0.00710657
1414.53,0.00704856
1415.49,0.00703476
1416.46,0.0070789
1417.42,0.00715074
1418.39,0.00713907
1419.35,0.00690527
1420.32,0.00642704
1421.28,0.00580788
1422.24,0.00515616
1423.21,0.00453652
1424.17,0.00398635
1425.14,0.00352687
1426.1,0.00315958
1427.07,0.00286816
1428.03,0.00263083
1428.99,0.00243168
1429.96,0.00226359
1430.92,0.00212271
1431.89,0.00200455
1432.85,0.00190794
1433.82,0.00184152
1434.78,0.00182254
1435.74,0.00185966
1436.71,0.00192339
1437.67,0.00195272
1438.64,0.00191979
1439.6,0.00185366
1440.56,0.0017993
1441.53,0.00178424
1442.49,0.00181069
1443.46,0.00185934
1444.42,0.00190009
1445.39,0.00190825
1446.35,0.00188037
1447.31,0.00183849
1448.28,0.00181485
1449.24,0.00182465
1450.21,0.0018541
1451.17,0.00187651
1452.14,0.0018729
1453.1,0.00184087
1454.06,0.00180032
1455.03,0.00181419
1455.99,0.00201928
1456.96,0.00252807
1457.92,0.00306883
1458.89,0.00324661
1459.85,0.00311971
1460.81,0.0028769
1461.78,0.00261644
1462.74,0.00238577
1463.71,0.00222481
1464.67,0.0021657
1465.63,0.00219465
1466.6,0.00224363
1467.56,0.00225008
1468.53,0.00219735
1469.49,0.00210279
1470.46,0.00200819
1471.42,0.00199664
1472.38,0.00220072
1473.35,0.00268257
1474.31,0.0032449
1475.28,0.00363646
1476.24,0.00383238
1477.21,0.0039244
1478.17,0.00399007
1479.13,0.00407463
1480.1,0.00420547
1481.06,0.00439992
1482.03,0.00466031
1482.99,0.00496373
1483.96,0.00526559
1484.92,0.00552974
1485.88,0.00580031
1486.85,0.00634633
1487.81,0.0078619
1488.78,0.0112636
1489.74,0.0163375
1490.71,0.0211998
1491.67,0.0245409
1492.63,0.0264816
1493.6,0.0275308
1494.56,0.028003
1495.53,0.0279437
1496.49,0.0271629
1497.45,0.0254346
1498.42,0.0229506
1499.38,0.0203433
1500.35,0.0180586
1501.31,0.0161539
1502.28,0.0145409
1503.24,0.013138
