Point,Distance (µm),Br L series
216,2.43836492890995,16916.36
217,2.44970616113744,17407.32
218,2.46104739336493,16484.24
219,2.47238862559242,16924.84
220,2.48372985781991,16361.2
221,2.49507109004739,16452.54
222,2.50641232227488,16941.72
223,2.51775355450237,15838.48
224,2.52909478672986,15824.87
225,2.54043601895735,16288.5
226,2.55177725118484,16090.15
227,2.56311848341232,15148.86
228,2.57445971563981,13820.22
229,2.5858009478673,13651.01
230,2.59714218009479,13528.72
231,2.60848341232228,13449.48
232,2.61982464454976,12365.95
233,2.63116587677725,11553.29
234,2.64250710900474,10212.43
235,2.65384834123223,10644.87
236,2.66518957345972,10102.46
237,2.6765308056872,10464.72
238,2.68787203791469,9839.963
239,2.69921327014218,9391.875
240,2.71055450236967,7570.822
241,2.72189573459716,8424.472
242,2.73323696682464,8058.189
243,2.74457819905213,7991.928
244,2.75591943127962,7031.151
245,2.76726066350711,6672.576
246,2.7786018957346,6896.374
247,2.78994312796208,6294.632
248,2.80128436018957,6262.842
249,2.81262559241706,6834.002
250,2.82396682464455,7159.978
251,2.83530805687204,6364.491
252,2.84664928909953,7028.351
253,2.85799052132701,5063.536
254,2.8693317535545,6048.906
255,2.88067298578199,6029.881
256,2.89201421800948,4647.294
257,2.90335545023697,5213.421
258,2.91469668246446,5713.245
259,2.92603791469194,4809.961
260,2.93737914691943,5124.295
261,2.94872037914692,5184.263
262,2.96006161137441,5284.479
263,2.9714028436019,4797.577
264,2.98274407582939,4795.529
265,2.99408530805687,5411.78
266,3.00542654028436,4633.064
267,3.01676777251185,4363.301
268,3.02810900473934,4790.963
269,3.03945023696683,4151.472
270,3.05079146919431,4421.738
271,3.0621327014218,4915.081
272,3.07347393364929,4733.432
273,3.08481516587678,4275.479
274,3.09615639810427,4124.435
275,3.10749763033175,3943.455
276,3.11883886255924,4395.01
277,3.13018009478673,3528.293
278,3.14152132701422,4008.544
279,3.1528625592417,4073.897
280,3.16420379146919,3732.175
281,3.17554502369668,3927.598
282,3.18688625592417,3741.379
283,3.19822748815166,3113.396
284,3.20956872037915,3715.067
285,3.22090995260664,3645.577
286,3.23225118483412,3209.167
287,3.24359241706161,3555.664
288,3.2549336492891,2777.038
289,3.26627488151659,3365.022
290,3.27761611374408,3614.737
291,3.28895734597157,3218.779
292,3.30029857819905,2205.214
293,3.31163981042654,2967.205
294,3.32298104265403,3056.117
295,3.33432227488152,3127.613
296,3.34566350710901,2602.703
297,3.35700473933649,2453.379
298,3.36834597156398,2868.963
299,3.37968720379147,2957.735
300,3.39102843601896,2800.481
301,3.40236966824645,2592.867
302,3.41371090047393,2646.699
303,3.42505213270142,1987.97
304,3.43639336492891,2807.994
305,3.4477345971564,2405.135
306,3.45907582938389,2212.514
307,3.47041706161137,2632.106
308,3.48175829383886,2030.945
309,3.49309952606635,2182.878
310,3.50444075829384,2439.963
311,3.51578199052133,2413.491
312,3.52712322274881,2066.338
313,3.5384644549763,1505.092
314,3.54980568720379,2288.668
315,3.56114691943128,2563.969
316,3.57248815165877,2167.251
317,3.58382938388626,1898.844
318,3.59517061611374,1949.486
319,3.60651184834123,2005.62
320,3.61785308056872,1875.944
321,3.62919431279621,1772.29
322,3.6405355450237,1658.747
323,3.65187677725119,1133.908
324,3.66321800947868,1933.573
325,3.67455924170616,1861.871
326,3.68590047393365,1651.601
327,3.69724170616114,2166.633
328,3.70858293838863,1373.105
329,3.71992417061611,1391.306
330,3.7312654028436,1363.081
331,3.74260663507109,1854.765
