Displacement;Gc (KJ/m²)
mm;KJ/m^2
9.568;0.2119
9.584;0.214
9.601;0.2146
9.618;0.2188
9.635;0.2209
9.652;0.2248
9.669;0.2273
9.685;0.2315
9.702;0.2335
9.719;0.2368
9.735;0.2402
9.752;0.2425
9.769;0.2442
9.785;0.248
9.802;0.2519
9.819;0.2546
9.835;0.2565
9.852;0.259
9.869;0.2609
9.885;0.2637
9.902;0.2657
9.919;0.268
9.936;0.2696
9.952;0.272
9.969;0.2753
9.986;0.2779
10;0.2798
10.02;0.2826
10.04;0.2853
10.05;0.2897
10.07;0.2333
10.09;0.1983
10.1;0.2021
10.12;0.2048
10.14;0.207
10.15;0.2109
10.17;0.214
10.19;0.2161
10.2;0.2181
10.22;0.2224
10.24;0.2237
10.25;0.2242
10.27;0.2264
10.29;0.2293
10.3;0.2319
10.32;0.2343
10.34;0.2373
10.35;0.2388
10.37;0.2398
10.39;0.2439
10.4;0.247
10.42;0.2496
10.44;0.252
10.45;0.2541
10.47;0.2589
10.49;0.2614
10.5;0.2633
10.52;0.2668
10.54;0.2714
10.55;0.2745
10.57;0.2774
10.59;0.2822
10.6;0.2414
10.62;0.2448
10.64;0.2479
10.65;0.2518
10.67;0.2565
10.69;0.2598
10.7;0.2616
10.72;0.2672
10.74;0.2688
10.76;0.2721
10.77;0.2756
10.79;0.2793
10.81;0.2833
10.82;0.2846
10.84;0.2875
10.86;0.2906
10.87;0.2939
10.89;0.2988
10.91;0.3023
10.92;0.3049
10.94;0.3088
10.96;0.3125
10.97;0.314
10.99;0.3167
11.01;0.3202
11.02;0.3225
11.04;0.3258
11.06;0.3297
11.07;0.334
11.09;0.3384
11.11;0.3425
11.12;0.3469
11.14;0.3506
11.16;0.351
11.17;0.355
11.19;0.3584
11.21;0.3628
11.22;0.3661
11.24;0.3706
11.26;0.3748
11.27;0.3791
11.29;0.3843
11.31;0.3896
11.32;0.3933
11.34;0.3976
11.36;0.2888
11.37;0.2714
11.39;0.2728
11.41;0.2761
11.42;0.2785
11.44;0.2811
11.46;0.2842
11.47;0.2875
11.49;0.29
11.51;0.291
11.52;0.2937
11.54;0.297
11.56;0.3007
11.57;0.3026
11.59;0.3047
11.61;0.308
11.62;0.3109
11.64;0.3147
11.66;0.3176
11.67;0.322
11.69;0.3244
11.71;0.3277
11.72;0.3324
11.74;0.3343
11.76;0.3361
11.77;0.3398
11.79;0.3438
11.81;0.3459
11.82;0.35
11.84;0.3544
11.86;0.3594
11.87;0.3618
11.89;0.3649
11.91;0.3693
11.92;0.373
11.94;0.3186
11.96;0.2772
11.97;0.2786
11.99;0.2795
12.01;0.2828
12.03;0.2867
12.04;0.2903
12.06;0.2929
12.08;0.2964
12.09;0.3004
12.11;0.3036
12.13;0.3062
12.14;0.3105
12.16;0.3125
12.18;0.315
12.19;0.3181
12.21;0.321
12.23;0.3253
12.24;0.3289
12.26;0.3321
12.28;0.3363
12.29;0.3416
12.31;0.3461
12.33;0.349
12.34;0.3527
12.36;0.3558
12.38;0.3605
12.39;0.3649
12.41;0.3684
12.43;0.3717
12.44;0.3765
12.46;0.3785
12.48;0.3828
12.49;0.3552
12.51;0.2975
12.53;0.3
12.54;0.3041
12.56;0.3064
12.58;0.309
12.59;0.3118
12.61;0.3132
12.63;0.3154
12.64;0.3216
12.66;0.3244
12.68;0.3259
12.69;0.3292
12.71;0.3328
12.73;0.3356
12.74;0.3387
12.76;0.3428
12.78;0.3441
12.79;0.3449
12.81;0.3481
12.83;0.3507
12.84;0.3539
12.86;0.3582
12.88;0.3611
12.89;0.3657
12.91;0.3701
12.93;0.3744
12.94;0.3786
12.96;0.3817
12.98;0.3849
13;0.3884
13.01;0.3901
13.03;0.3924
13.05;0.3979
13.06;0.4021
13.08;0.3559
13.1;0.3141
13.11;0.3164
13.13;0.3188
13.15;0.3196
13.16;0.3219
13.18;0.3237
13.2;0.3248
13.21;0.3284
13.23;0.3314
13.25;0.3351
13.26;0.3364
13.28;0.3396
13.3;0.3413
13.31;0.3439
13.33;0.3462
13.35;0.3503
13.36;0.3523
13.38;0.3548
13.4;0.3592
13.41;0.362
13.43;0.3671
13.45;0.3699
13.46;0.3743
13.48;0.3779
13.5;0.3811
13.51;0.3852
13.53;0.3892
13.55;0.3932
13.56;0.3963
13.58;0.4005
13.6;0.4052
13.61;0.4092
13.63;0.4127
13.65;0.4154
13.66;0.4187
13.68;0.4209
13.7;0.4215
13.71;0.4244
13.73;0.4273
13.75;0.4304
13.76;0.3092
13.78;0.3167
13.8;0.32
13.81;0.3233
13.83;0.3269
13.85;0.3298
13.86;0.3321
13.88;0.3348
13.9;0.3367
13.91;0.3395
13.93;0.3428
13.95;0.3478
13.96;0.3511
13.98;0.3546
14;0.3572
14.01;0.3613
14.03;0.3644
14.05;0.3671
14.07;0.3703
14.08;0.3745
14.1;0.3792
14.12;0.3813
14.13;0.3849
14.15;0.3876
14.17;0.3912
14.18;0.3951
14.2;0.3989
14.22;0.4015
14.23;0.4041
14.25;0.4086
14.27;0.4115
14.28;0.416
14.3;0.4189
14.32;0.4225
14.33;0.426
14.35;0.4297
14.37;0.39
14.38;0.308
14.4;0.3097
14.42;0.3129
14.43;0.3149
14.45;0.3176
14.47;0.3195
14.48;0.3226
14.5;0.325
14.52;0.3272
14.53;0.3294
14.55;0.3316
14.57;0.3336
14.58;0.3359
14.6;0.3401
14.62;0.3436
14.63;0.3466
14.65;0.3513
14.67;0.3546
14.69;0.3567
14.7;0.357
14.72;0.3608
14.74;0.3639
14.75;0.3681
14.77;0.3713
14.79;0.3755
14.8;0.3792
14.82;0.3841
14.84;0.3876
14.85;0.3904
14.87;0.3939
14.89;0.3981
14.9;0.4014
14.92;0.404
14.94;0.4072
14.95;0.4107
14.97;0.4144
14.99;0.4183
15;0.4193
15.02;0.421
15.04;0.3348
15.05;0.3279
15.07;0.3301
15.09;0.3336
15.1;0.3359
15.12;0.3378
15.14;0.3396
15.15;0.3425
15.17;0.3456
15.19;0.3472
15.2;0.3494
15.22;0.3515
15.24;0.3522
15.25;0.3552
15.27;0.358
15.29;0.3613
15.3;0.3632
15.32;0.3676
15.34;0.3694
15.35;0.3713
15.37;0.3745
15.39;0.3783
15.4;0.3819
15.42;0.3851
15.44;0.3888
15.45;0.3939
15.47;0.3953
15.49;0.3961
15.5;0.3998
15.52;0.403
15.54;0.4058
15.55;0.4102
15.57;0.4134
15.59;0.4164
15.6;0.4208
15.62;0.4216
15.64;0.3057
15.66;0.3116
15.67;0.3141
15.69;0.3163
15.71;0.3182
15.72;0.3214
15.74;0.3245
15.76;0.3281
15.77;0.3294
15.79;0.3317
15.81;0.3339
15.82;0.3366
15.84;0.3393
15.86;0.3408
15.87;0.343
15.89;0.3463
15.91;0.3491
15.92;0.3524
15.94;0.3566
15.96;0.3597
15.97;0.3636
15.99;0.3666
16.01;0.3708
16.02;0.3724
16.04;0.3746
16.06;0.3781
16.07;0.3815
16.09;0.384
16.11;0.3863
16.12;0.3895
16.14;0.3927
16.16;0.3937
16.17;0.3943
16.19;0.397
16.21;0.4
16.22;0.4033
16.24;0.3737
16.26;0.3031
16.27;0.3062
16.29;0.3094
16.31;0.3118
16.32;0.315
16.34;0.3193
16.36;0.3227
16.38;0.3251
16.39;0.3277
16.41;0.3314
16.43;0.3348
16.44;0.3394
16.46;0.3427
16.48;0.3458
16.49;0.3473
16.51;0.3496
16.53;0.3521
16.54;0.3538
16.56;0.3564
16.58;0.3574
16.59;0.3613
16.61;0.3646
16.63;0.3668
16.64;0.3698
16.66;0.3732
16.68;0.3437
16.69;0.3032
16.71;0.3048
16.73;0.3075
16.74;0.3089
16.76;0.3105
16.78;0.3122
16.79;0.3144
16.81;0.3171
16.83;0.3208
16.84;0.3239
16.86;0.327
16.88;0.331
16.89;0.3335
16.91;0.3378
16.93;0.341
16.94;0.3451
16.96;0.3478
16.98;0.3511
16.99;0.3549
17.01;0.3581
17.03;0.3615
17.04;0.3658
17.06;0.369
17.08;0.3714
17.09;0.372
17.11;0.3736
17.13;0.377
17.14;0.3803
17.16;0.383
17.18;0.3875
17.19;0.3891
17.21;0.3932
17.23;0.3973
17.24;0.333
17.26;0.3183
17.28;0.3196
17.29;0.3222
17.31;0.3267
17.33;0.3298
17.34;0.3322
17.36;0.3352
17.38;0.338
17.39;0.3409
17.41;0.3431
17.43;0.346
17.45;0.3496
17.46;0.3534
17.48;0.3559
17.5;0.3586
17.51;0.362
17.53;0.3651
17.55;0.3682
17.56;0.3708
17.58;0.3748
17.6;0.3781
17.61;0.382
17.63;0.3856
17.65;0.3897
17.66;0.3928
17.68;0.3945
17.7;0.3952
17.71;0.3975
17.73;0.4007
17.75;0.4036
17.76;0.4077
17.78;0.4105
17.8;0.4142
17.81;0.4178
17.83;0.4212
17.85;0.4234
17.86;0.4258
17.88;0.4288
17.9;0.4317
17.91;0.4358
17.93;0.4381
17.95;0.4405
17.96;0.4427
17.98;0.4455
18;0.4469
18.01;0.4502
18.03;0.4535
18.05;0.4578
18.06;0.4615
18.08;0.4646
18.1;0.4685
18.11;0.473
18.13;0.476
18.15;0.4801
18.16;0.4855
18.18;0.4168
18.2;0.3119
18.21;0.3149
18.23;0.3186
18.25;0.3221
18.26;0.3247
18.28;0.3266
18.3;0.3298
18.31;0.3334
18.33;0.339
18.35;0.3428
18.37;0.3466
18.38;0.3481
18.4;0.3488
18.42;0.3527
18.43;0.3555
18.45;0.3589
18.47;0.3625
18.48;0.3647
18.5;0.367
18.52;0.3695
18.53;0.3718
18.55;0.374
18.57;0.3753
18.58;0.3783
18.6;0.3809
18.62;0.3845
18.63;0.3872
18.65;0.3906
18.67;0.3938
18.68;0.3943
18.7;0.3965
18.72;0.4
18.73;0.4032
18.75;0.4065
18.77;0.4108
18.78;0.4153
18.8;0.4183
18.82;0.4219
18.83;0.4261
18.85;0.4295
18.87;0.4324
18.88;0.4354
18.9;0.3645
18.92;0.3126
18.93;0.3143
18.95;0.3179
18.97;0.3201
18.98;0.3241
19;0.3245
19.02;0.3254
19.03;0.3299
19.05;0.3315
19.07;0.3346
19.08;0.3391
19.1;0.3413
19.12;0.3432
19.13;0.3478
19.15;0.3511
19.17;0.3535
19.18;0.3564
19.2;0.3606
19.22;0.3661
19.23;0.3704
19.25;0.374
19.27;0.3787
19.28;0.3833
19.3;0.3864
19.32;0.3889
19.33;0.3935
19.35;0.3979
19.37;0.4038
19.39;0.407
19.4;0.4102
19.42;0.4149
19.44;0.4191
19.45;0.4225
19.47;0.4261
19.49;0.4304
19.5;0.3627
19.52;0.3148
19.54;0.3181
19.55;0.3218
19.57;0.3233
19.59;0.3268
19.6;0.3305
19.62;0.3337
19.64;0.3386
19.65;0.3436
19.67;0.3476
19.69;0.3521
19.7;0.3565
19.72;0.361
19.74;0.3652
19.75;0.3692
19.77;0.3714
19.79;0.3756
19.81;0.38
19.82;0.3842
19.84;0.3881
19.86;0.3906
19.87;0.3947
19.89;0.3988
19.91;0.4038
19.92;0.4081
19.94;0.4124
19.96;0.4184
19.97;0.4231
19.99;0.4257
20.01;0.429
20.02;0.4339
20.04;0.3797
20.06;0.3344
20.07;0.3371
20.09;0.3409
20.11;0.3443
20.12;0.3474
20.14;0.3509
20.16;0.3534
20.17;0.3568
20.19;0.3602
20.21;0.3639
20.22;0.3673
20.24;0.3691
20.26;0.3725
20.27;0.3727
20.29;0.3732
20.31;0.3756
20.32;0.379
20.34;0.3816
20.36;0.3851
20.37;0.3872
20.39;0.3884
20.41;0.3919
20.42;0.3951
20.44;0.3957
20.46;0.3981
20.47;0.4005
20.49;0.4036
20.51;0.4076
20.52;0.4106
20.54;0.4145
20.56;0.4157
20.57;0.4177
20.59;0.4194
20.61;0.425
20.62;0.4016
20.64;0.2914
20.66;0.2941
20.67;0.2981
20.69;0.3025
20.71;0.3055
20.72;0.308
20.74;0.3111
20.76;0.3137
20.77;0.3164
20.79;0.3206
20.81;0.3234
20.82;0.3273
20.84;0.3323
20.86;0.3342
20.87;0.3372
20.89;0.3406
20.91;0.3462
20.92;0.349
20.94;0.3523
20.96;0.3551
20.97;0.3596
20.99;0.3611
21.01;0.3656
21.03;0.3685
21.04;0.3703
21.06;0.3735
21.08;0.3772
21.09;0.3798
21.11;0.3827
21.13;0.3867
21.14;0.3893
21.16;0.3904
21.18;0.3922
21.19;0.3954
21.21;0.3246
21.23;0.2365
21.24;0.2394
21.26;0.2428
21.28;0.2462
21.29;0.2502
21.31;0.2523
21.33;0.2548
21.34;0.2589
21.36;0.2623
21.38;0.265
21.39;0.2695
21.41;0.2737
21.43;0.2766
21.44;0.2796
21.46;0.2812
21.48;0.2822
21.49;0.283
21.51;0.2861
21.53;0.2898
21.54;0.2932
21.56;0.2978
21.58;0.2899
21.59;0.2639
21.61;0.2673
21.63;0.2703
21.64;0.2729
21.66;0.2756
21.68;0.2786
21.69;0.2811
21.71;0.2847
21.73;0.2879
21.75;0.2919
21.76;0.2948
21.78;0.2968
21.8;0.2976
21.81;0.2999
21.83;0.3031
21.85;0.3076
21.86;0.3094
21.88;0.3131
21.9;0.317
21.91;0.3209
21.93;0.3232
21.95;0.3258
21.96;0.3285
21.98;0.3316
22;0.3351
22.01;0.3391
22.03;0.3435
22.05;0.3477
22.06;0.3513
22.08;0.3538
22.1;0.3579
22.11;0.3604
22.13;0.3276
22.15;0.2393
22.17;0.2435
22.18;0.2456
22.2;0.2491
22.22;0.2546
22.23;0.2582
22.25;0.2619
22.27;0.2644
22.28;0.2674
22.3;0.2707
22.32;0.2731
22.33;0.278
22.35;0.2802
22.37;0.2831
22.38;0.2848
22.4;0.2891
22.42;0.2912
22.43;0.2925
22.45;0.2947
22.47;0.2983
22.48;0.3006
22.5;0.306
22.52;0.3084
22.53;0.3118
22.55;0.315
22.57;0.3172
22.58;0.3216
22.6;0.3229
22.62;0.3252
22.63;0.329
22.65;0.3331
22.67;0.3363
22.68;0.339
22.7;0.3413
22.72;0.3448
22.73;0.3489
22.75;0.3516
22.77;0.3542
22.78;0.2904
22.8;0.1791
22.82;0.1823
22.84;0.1845
22.85;0.1856
22.87;0.1871
22.89;0.1885
22.9;0.1921
22.92;0.1956
22.94;0.1995
22.95;0.2018
22.97;0.2059
22.99;0.2077
23;0.2103
