Temperature (°C),Heat flow (W/g)
77.82,-0.222
77.83,-0.222
77.85,-0.222
77.87,-0.222
77.88,-0.222
77.9,-0.222
77.92,-0.222
77.93,-0.222
77.95,-0.222
77.97,-0.222
77.98,-0.222
78.0,-0.222
78.02,-0.222
78.03,-0.222
78.05,-0.222
78.07,-0.222
78.08,-0.222
78.1,-0.222
78.12,-0.222
78.13,-0.222
78.15,-0.222
78.17,-0.222
78.18,-0.222
78.2,-0.222
78.22,-0.222
78.23,-0.222
78.25,-0.222
78.27,-0.222
78.28,-0.222
78.3,-0.222
78.32,-0.222
78.33,-0.222
78.35,-0.222
78.37,-0.222
78.38,-0.222
78.4,-0.222
78.42,-0.222
78.43,-0.222
78.45,-0.222
78.47,-0.222
78.48,-0.223
78.5,-0.223
78.52,-0.223
78.54,-0.223
78.55,-0.223
78.57,-0.223
78.58,-0.223
78.6,-0.223
78.62,-0.223
78.63,-0.223
78.65,-0.223
78.67,-0.223
78.68,-0.223
78.7,-0.223
78.72,-0.223
78.73,-0.223
78.75,-0.223
78.77,-0.223
78.78,-0.223
78.8,-0.223
78.82,-0.223
78.83,-0.223
78.85,-0.223
78.87,-0.223
78.88,-0.223
78.9,-0.223
78.92,-0.223
78.93,-0.223
78.95,-0.223
78.97,-0.223
78.98,-0.223
79.0,-0.223
79.02,-0.223
79.03,-0.223
79.05,-0.223
79.07,-0.223
79.08,-0.223
79.1,-0.223
79.12,-0.223
79.13,-0.223
79.15,-0.223
79.17,-0.223
79.18,-0.223
79.2,-0.223
79.22,-0.223
79.23,-0.223
79.25,-0.223
79.27,-0.223
79.28,-0.223
79.3,-0.223
79.32,-0.223
79.33,-0.223
79.35,-0.223
79.37,-0.223
79.38,-0.223
79.4,-0.223
79.42,-0.223
79.43,-0.223
79.45,-0.223
79.47,-0.223
79.48,-0.223
79.5,-0.223
79.52,-0.223
79.53,-0.223
79.55,-0.223
79.57,-0.223
79.58,-0.223
79.6,-0.223
79.62,-0.223
79.63,-0.223
79.65,-0.223
79.67,-0.223
79.68,-0.223
79.7,-0.223
79.72,-0.223
79.73,-0.223
79.75,-0.223
79.77,-0.224
79.78,-0.224
79.8,-0.224
79.82,-0.224
79.83,-0.224
79.85,-0.224
79.87,-0.224
79.88,-0.224
79.9,-0.224
79.92,-0.224
79.93,-0.224
79.95,-0.224
79.97,-0.224
79.98,-0.224
80.0,-0.224
80.02,-0.224
80.03,-0.224
80.05,-0.224
80.07,-0.224
80.08,-0.224
80.1,-0.224
80.12,-0.224
80.13,-0.224
80.15,-0.224
80.17,-0.224
80.18,-0.224
80.2,-0.224
80.22,-0.224
