Temperaturee (°C),Heat flow (W/g)
0.7,31.14,-0.121558975
0.7,31.15,-0.121574417
0.7,31.17,-0.121590744
0.7,31.19,-0.121609535
0.7,31.2,-0.121638115
0.7,31.22,-0.12167804
0.7,31.24,-0.121726044
0.71,31.25,-0.121768433
0.71,31.27,-0.121801048
0.71,31.29,-0.121840012
0.71,31.3,-0.121873955
0.71,31.32,-0.121911179
0.72,31.34,-0.121930435
0.72,31.35,-0.121947342
0.72,31.37,-0.121963982
0.72,31.38,-0.121980049
0.72,31.4,-0.12199588
0.72,31.42,-0.122011566
0.73,31.43,-0.122028
0.73,31.45,-0.122045158
0.73,31.47,-0.122062515
0.73,31.48,-0.122083382
0.73,31.5,-0.122110161
0.73,31.52,-0.122143173
0.73,31.53,-0.122169907
0.74,31.55,-0.122199272
0.74,31.57,-0.122221649
0.74,31.58,-0.122249298
0.74,31.6,-0.122277771
0.74,31.61,-0.122307884
0.75,31.63,-0.122340332
0.75,31.65,-0.122364494
0.75,31.66,-0.122383057
0.75,31.68,-0.122403412
0.75,31.7,-0.122422028
0.75,31.71,-0.122440254
0.75,31.73,-0.122458023
0.76,31.75,-0.12247509
0.76,31.76,-0.122493111
0.76,31.78,-0.122511154
0.76,31.8,-0.122529182
0.76,31.81,-0.122547142
0.77,31.83,-0.122564888
0.77,31.84,-0.122582008
0.77,31.86,-0.122599419
0.77,31.88,-0.122617004
0.77,31.89,-0.122634697
0.77,31.91,-0.122653168
0.78,31.93,-0.122671989
0.78,31.94,-0.122691086
0.78,31.96,-0.122710877
0.78,31.98,-0.122730972
0.78,31.99,-0.122752022
0.78,32.01,-0.122770767
0.78,32.03,-0.122789688
0.79,32.04,-0.122808678
0.79,32.06,-0.122827789
0.79,32.08,-0.12284642
0.79,32.09,-0.122866127
0.79,32.11,-0.122885902
0.8,32.12,-0.122905144
0.8,32.14,-0.122924805
0.8,32.16,-0.122944542
0.8,32.17,-0.122964592
0.8,32.19,-0.122983757
0.8,32.21,-0.123002464
0.8,32.22,-0.12302166
0.81,32.24,-0.123039772
0.81,32.26,-0.123057854
0.81,32.27,-0.123075798
0.81,32.29,-0.123094879
0.81,32.31,-0.123113686
0.82,32.32,-0.123132713
0.82,32.34,-0.123151741
0.82,32.36,-0.123171898
0.82,32.37,-0.123191826
0.82,32.39,-0.123212471
0.82,32.41,-0.123232643
0.83,32.42,-0.123253487
0.83,32.44,-0.123273644
0.83,32.45,-0.123292999
0.83,32.47,-0.123312393
0.83,32.49,-0.123331574
0.83,32.5,-0.123350998
0.83,32.52,-0.123370132
0.84,32.54,-0.123388817
0.84,32.55,-0.123407127
0.84,32.57,-0.123426521
0.84,32.59,-0.123446259
0.84,32.6,-0.123464981
0.85,32.62,-0.123483276
0.85,32.64,-0.123501579
0.85,32.65,-0.123519394
0.85,32.67,-0.123536964
0.85,32.69,-0.12355513
0.85,32.7,-0.123573776
0.85,32.72,-0.123592308
0.86,32.73,-0.123612091
0.86,32.75,-0.123632095
0.86,32.77,-0.123652771
0.86,32.78,-0.123672997
0.86,32.8,-0.123693314
0.87,32.82,-0.12371386
0.87,32.84,-0.123733925
0.87,32.85,-0.123752022
0.87,32.87,-0.123769737
0.87,32.88,-0.123786484
0.87,32.9,-0.123804009
0.88,32.92,-0.123821785
0.88,32.93,-0.123839951
0.88,32.95,-0.123858818
0.88,32.97,-0.123877609
0.88,32.98,-0.123896118
0.88,33,-0.123915695
0.88,33.02,-0.123935928
0.89,33.03,-0.123956352
0.89,33.05,-0.123976357
0.89,33.07,-0.123996201
0.89,33.08,-0.124015549
0.89,33.1,-0.12403579
0.9,33.11,-0.124056061
0.9,33.13,-0.124075745
0.9,33.15,-0.124095444
0.9,33.16,-0.124114853
0.9,33.18,-0.124134033
0.9,33.2,-0.124153641
0.9,33.21,-0.12417376
0.91,33.23,-0.124193596
0.91,33.25,-0.124213211
0.91,33.26,-0.124232887
0.91,33.28,-0.124251259
0.91,33.3,-0.124269623
0.92,33.31,-0.124287422
0.92,33.33,-0.124304756
0.92,33.35,-0.124322388
0.92,33.36,-0.124341835
0.92,33.38,-0.124362808
0.92,33.4,-0.124383949
0.93,33.41,-0.124404182
0.93,33.43,-0.124423004
0.93,33.45,-0.12444175
0.93,33.46,-0.124460854
0.93,33.48,-0.124479561
0.93,33.5,-0.124497536
0.93,33.51,-0.124515373
0.94,33.53,-0.124532318
0.94,33.54,-0.124549347
0.94,33.56,-0.124566475
0.94,33.58,-0.124584526
0.94,33.59,-0.124602242
0.95,33.61,-0.124620453
0.95,33.63,-0.124638985
0.95,33.64,-0.124657784
0.95,33.66,-0.124677246
0.95,33.68,-0.124697105
0.95,33.69,-0.124715843
0.95,33.71,-0.124733604
0.96,33.73,-0.124750717
0.96,33.74,-0.12476712
0.96,33.76,-0.124784149
0.96,33.78,-0.124801071
0.96,33.79,-0.124818298
0.97,33.81,-0.124835678
0.97,33.83,-0.124854004
0.97,33.84,-0.124872124
0.97,33.86,-0.124890511
0.97,33.88,-0.124908455
0.97,33.89,-0.124926193
0.98,33.91,-0.124943321
0.98,33.92,-0.124960465
0.98,33.94,-0.124977852
0.98,33.96,-0.124996002
0.98,33.97,-0.125014435
0.98,33.99,-0.125032913
0.98,34.01,-0.125050537
0.99,34.02,-0.125067986
0.99,34.04,-0.125086426
0.99,34.06,-0.125104477
0.99,34.08,-0.12512217
0.99,34.09,-0.125138832
1,34.11,-0.12515625
1,34.12,-0.125173554
1,34.14,-0.125190506
1,34.16,-0.125206886
1,34.17,-0.125222984
1,34.19,-0.125238319
1,34.21,-0.125254158
1.01,34.22,-0.125271164
1.01,34.24,-0.125287636
1.01,34.26,-0.125304764
1.01,34.27,-0.125322746
1.01,34.29,-0.125341362
1.02,34.31,-0.125359383
1.02,34.32,-0.125376953
1.02,34.34,-0.125394844
1.02,34.36,-0.125412407
1.02,34.37,-0.125429398
1.02,34.39,-0.125446663
1.03,34.4,-0.125464294
1.03,34.42,-0.125481545
1.03,34.44,-0.125498474
1.03,34.45,-0.125515755
1.03,34.47,-0.125533127
1.03,34.49,-0.125550278
1.03,34.5,-0.125566635
1.04,34.52,-0.125582733
1.04,34.54,-0.125599251
1.04,34.55,-0.125615089
1.04,34.57,-0.125631172
1.04,34.59,-0.12564708
1.05,34.6,-0.125663063
1.05,34.62,-0.125678101
1.05,34.64,-0.125692139
1.05,34.65,-0.125707054
1.05,34.67,-0.125723656
1.05,34.69,-0.125739403
1.05,34.7,-0.125755325
1.06,34.72,-0.125772743
1.06,34.74,-0.125790901
1.06,34.75,-0.125809311
1.06,34.77,-0.125827263
1.06,34.79,-0.125844856
1.07,34.8,-0.12586219
1.07,34.82,-0.125878754
1.07,34.84,-0.125895157
1.07,34.85,-0.12591127
1.07,34.87,-0.125927704
1.07,34.89,-0.125943962
1.08,34.9,-0.125961319
1.08,34.92,-0.125979622
1.08,34.93,-0.12599749
1.08,34.95,-0.126015633
1.08,34.97,-0.126032242
1.08,34.99,-0.126048378
1.08,35,-0.126064117
1.09,35.02,-0.126078774
1.09,35.04,-0.126093445
1.09,35.05,-0.126108841
1.09,35.07,-0.126124352
1.09,35.08,-0.126139786
1.09,35.1,-0.126155472
1.1,35.12,-0.126171051
1.1,35.13,-0.126186462
1.1,35.15,-0.12620195
1.1,35.17,-0.126218384
1.1,35.18,-0.126235611
1.11,35.2,-0.126251762
1.11,35.22,-0.126268486
1.11,35.23,-0.126285362
1.11,35.25,-0.126301445
1.11,35.27,-0.12631649
1.11,35.28,-0.126331696
1.12,35.3,-0.126348129
1.12,35.32,-0.126364655
1.12,35.33,-0.126381325
1.12,35.35,-0.126397644
1.12,35.37,-0.126413567
1.12,35.38,-0.126429649
1.13,35.4,-0.126445244
1.13,35.42,-0.126461327
1.13,35.43,-0.126475983
1.13,35.45,-0.126490395
1.13,35.47,-0.126504044
1.13,35.48,-0.126517334
1.13,35.5,-0.126531044
1.14,35.52,-0.12654541
1.14,35.53,-0.12655928
1.14,35.55,-0.126575249
1.14,35.56,-0.126590431
1.14,35.58,-0.126605721
1.14,35.6,-0.126620102
1.15,35.62,-0.126634834
1.15,35.63,-0.12665007
1.15,35.65,-0.126665352
1.15,35.67,-0.12668113
1.15,35.68,-0.126695335
1.16,35.7,-0.126709938
1.16,35.71,-0.126724884
1.16,35.73,-0.126740624
1.16,35.75,-0.126755768
1.16,35.76,-0.126771118
1.16,35.78,-0.126785736
1.17,35.8,-0.126799782
1.17,35.81,-0.126813049
1.17,35.83,-0.126826592
1.17,35.85,-0.126840607
1.17,35.86,-0.126854652
1.17,35.88,-0.126869453
1.18,35.9,-0.126885223
1.18,35.91,-0.126901253
1.18,35.93,-0.126916649
1.18,35.95,-0.126932427
1.18,35.96,-0.126947624
1.18,35.98,-0.126962387
1.18,36,-0.126976311
1.19,36.01,-0.126990814
1.19,36.03,-0.127005074
1.19,36.05,-0.127019234
1.19,36.06,-0.127033669
1.19,36.08,-0.127048172
1.19,36.1,-0.12706266
1.2,36.11,-0.127077774
1.2,36.13,-0.127092781
1.2,36.15,-0.127106758
1.2,36.16,-0.127120407
1.2,36.18,-0.127133453
1.21,36.2,-0.127147728
1.21,36.21,-0.127162048
1.21,36.23,-0.127176453
1.21,36.25,-0.127191269
1.21,36.26,-0.127206093
1.21,36.28,-0.127220512
1.22,36.3,-0.127235718
1.22,36.31,-0.127251015
1.22,36.33,-0.127266274
1.22,36.35,-0.127282028
1.22,36.36,-0.127296463
1.22,36.38,-0.127310928
1.23,36.4,-0.127325371
1.23,36.41,-0.127339348
1.23,36.43,-0.127354393
1.23,36.45,-0.127368271
1.23,36.46,-0.127381676
1.23,36.48,-0.127394424
1.23,36.5,-0.12740757
1.24,36.51,-0.127421989
1.24,36.53,-0.127436211
1.24,36.55,-0.127449776
1.24,36.56,-0.127463226
1.24,36.58,-0.127476898
1.24,36.6,-0.127490067
1.25,36.61,-0.127503471
1.25,36.63,-0.127517014
1.25,36.64,-0.127530106
1.25,36.66,-0.127543694
1.25,36.68,-0.12755674
1.26,36.69,-0.127571617
1.26,36.71,-0.127586548
1.26,36.73,-0.12760128
1.26,36.74,-0.12761528
1.26,36.76,-0.12762915
1.26,36.78,-0.127642593
1.27,36.79,-0.12765564
1.27,36.81,-0.127667893
1.27,36.83,-0.127680039
1.27,36.84,-0.127692604
1.27,36.86,-0.127703751
1.27,36.88,-0.127716187
1.28,36.89,-0.12772876
1.28,36.91,-0.127742607
1.28,36.93,-0.12775605
1.28,36.94,-0.127769791
1.28,36.96,-0.127784401
1.28,36.98,-0.127797852
1.28,36.99,-0.127811295
1.29,37.01,-0.127822273
1.29,37.03,-0.127833443
1.29,37.04,-0.127843742
1.29,37.06,-0.127854485
1.29,37.08,-0.127865562
1.29,37.09,-0.12787822
1.3,37.11,-0.127889938
1.3,37.13,-0.12790123
1.3,37.14,-0.127913216
1.3,37.16,-0.127925507
1.3,37.18,-0.12793808
1.31,37.19,-0.127950821
1.31,37.21,-0.127962013
1.31,37.23,-0.127973747
1.31,37.24,-0.127985947
1.31,37.26,-0.127997665
1.31,37.28,-0.128010529
1.32,37.29,-0.128023651
1.32,37.31,-0.128035553
1.32,37.33,-0.12804776
