Temperaturee (°C),Heat flow (W/g)
20.01,224.19,-0.255311523
20.01,224.21,-0.255323044
20.01,224.23,-0.255335236
20.01,224.24,-0.255346359
20.01,224.26,-0.255357315
20.01,224.28,-0.255367645
20.02,224.29,-0.255378632
20.02,224.31,-0.255389481
20.02,224.33,-0.255400528
20.02,224.34,-0.255412628
20.02,224.36,-0.255425415
20.02,224.38,-0.255437561
20.03,224.39,-0.255449554
20.03,224.41,-0.255461212
20.03,224.42,-0.255472992
20.03,224.44,-0.255484634
20.03,224.46,-0.255496948
20.03,224.47,-0.255509781
20.03,224.49,-0.255522461
20.04,224.51,-0.255534912
20.04,224.53,-0.255547501
20.04,224.54,-0.255560516
20.04,224.56,-0.255573303
20.04,224.58,-0.255585449
20.04,224.59,-0.255597702
20.05,224.61,-0.255609802
20.05,224.63,-0.255621658
20.05,224.64,-0.255633164
20.05,224.66,-0.255644943
20.05,224.67,-0.255656937
20.06,224.69,-0.255670548
20.06,224.71,-0.255683228
20.06,224.72,-0.255694855
20.06,224.74,-0.255706055
20.06,224.76,-0.25571727
20.06,224.77,-0.255730301
20.07,224.79,-0.255743103
20.07,224.81,-0.2557547
20.07,224.82,-0.25576683
20.07,224.84,-0.255778198
20.07,224.86,-0.255790253
20.07,224.88,-0.255802902
20.08,224.89,-0.255814926
20.08,224.91,-0.255825821
20.08,224.92,-0.255834351
20.08,224.94,-0.255843918
20.08,224.96,-0.25585437
20.08,224.97,-0.255864456
20.08,224.99,-0.255874695
20.09,225.01,-0.255884689
20.09,225.02,-0.255895645
20.09,225.04,-0.255907578
20.09,225.06,-0.255919907
20.09,225.07,-0.255931244
20.09,225.09,-0.255942642
20.1,225.11,-0.255953766
20.1,225.13,-0.255963837
20.1,225.14,-0.255973419
20.1,225.16,-0.255982895
20.1,225.17,-0.255992325
20.11,225.19,-0.25600174
20.11,225.21,-0.256009766
20.11,225.22,-0.256018707
20.11,225.24,-0.256029297
20.11,225.26,-0.256041138
20.11,225.27,-0.256052338
20.12,225.29,-0.256063019
20.12,225.31,-0.256073151
20.12,225.32,-0.256084106
20.12,225.34,-0.256094177
20.12,225.36,-0.256103699
20.12,225.37,-0.25611264
20.13,225.39,-0.256120606
20.13,225.41,-0.256128082
20.13,225.42,-0.256136688
20.13,225.44,-0.256146362
20.13,225.46,-0.256156372
20.13,225.47,-0.256166046
20.13,225.49,-0.256175354
20.14,225.51,-0.256184113
20.14,225.52,-0.256193054
20.14,225.54,-0.25620285
20.14,225.56,-0.256214752
20.14,225.57,-0.256226837
20.14,225.59,-0.256237244
20.15,225.61,-0.256247589
20.15,225.62,-0.256258789
20.15,225.64,-0.256270447
20.15,225.66,-0.256281982
20.15,225.67,-0.256292481
20.16,225.69,-0.256301636
20.16,225.71,-0.256310944
20.16,225.72,-0.25632019
20.16,225.74,-0.256328644
20.16,225.76,-0.256336243
20.16,225.77,-0.256343628
20.17,225.79,-0.256352051
20.17,225.81,-0.256361298
20.17,225.82,-0.256370178
20.17,225.84,-0.256379395
20.17,225.86,-0.256389526
20.17,225.88,-0.256399475
20.18,225.89,-0.256409912
20.18,225.91,-0.256420563
20.18,225.92,-0.256429993
20.18,225.94,-0.256438477
20.18,225.96,-0.256447266
20.18,225.98,-0.256456451
20.18,225.99,-0.256466858
20.19,226.01,-0.25647757
20.19,226.03,-0.256489563
20.19,226.04,-0.256501526
20.19,226.06,-0.256514893
20.19,226.07,-0.256527222
20.19,226.09,-0.256539581
20.2,226.11,-0.256550171
20.2,226.13,-0.256560608
20.2,226.14,-0.256569946
20.2,226.16,-0.256579285
20.2,226.18,-0.256589539
20.21,226.19,-0.256600647
20.21,226.21,-0.256612763
20.21,226.23,-0.256625336
20.21,226.24,-0.256639221
20.21,226.26,-0.256652191
20.21,226.28,-0.256665833
20.22,226.29,-0.256679688
20.22,226.31,-0.256693481
20.22,226.33,-0.256706421
20.22,226.34,-0.256718414
20.22,226.36,-0.256730225
20.22,226.38,-0.256740997
20.23,226.39,-0.256752289
20.23,226.41,-0.256764404
20.23,226.42,-0.256778107
20.23,226.44,-0.256792297
20.23,226.46,-0.256810883
20.23,226.47,-0.256841461
20.23,226.49,-0.256887543
20.24,226.51,-0.256944244
20.24,226.53,-0.256988648
20.24,226.54,-0.257025421
20.24,226.56,-0.257046387
20.24,226.58,-0.257061768
20.24,226.59,-0.257077057
20.25,226.61,-0.257092224
20.25,226.63,-0.257107758
20.25,226.64,-0.257123261
20.25,226.66,-0.257139404
20.25,226.67,-0.257155396
20.26,226.69,-0.257172058
20.26,226.71,-0.257188995
20.26,226.73,-0.257204346
20.26,226.74,-0.25721991
20.26,226.76,-0.257235046
20.26,226.78,-0.257249451
20.27,226.79,-0.257263275
20.27,226.81,-0.257277496
20.27,226.83,-0.257290375
20.27,226.84,-0.257302368
20.27,226.86,-0.25731488
20.27,226.88,-0.257327423
20.28,226.89,-0.257341522
20.28,226.91,-0.257355957
20.28,226.93,-0.257370331
20.28,226.94,-0.257384522
20.28,226.96,-0.257398468
20.28,226.97,-0.257412262
20.28,226.99,-0.257426392
20.29,227.01,-0.257441193
20.29,227.03,-0.257455322
20.29,227.04,-0.257468323
20.29,227.06,-0.257481323
20.29,227.08,-0.257494934
20.29,227.09,-0.257509277
20.3,227.11,-0.257523377
20.3,227.13,-0.257538757
20.3,227.14,-0.257554779
20.3,227.16,-0.257570648
20.3,227.17,-0.257585724
20.31,227.19,-0.257600189
20.31,227.21,-0.257613342
20.31,227.22,-0.257625702
20.31,227.24,-0.257637573
20.31,227.26,-0.25764856
20.31,227.28,-0.257658752
20.32,227.29,-0.257669647
20.32,227.31,-0.257680237
20.32,227.32,-0.257690033
20.32,227.34,-0.257700195
20.32,227.36,-0.257711548
20.32,227.38,-0.257723755
20.33,227.39,-0.257736908
20.33,227.41,-0.257751099
20.33,227.43,-0.257765778
20.33,227.44,-0.257780243
20.33,227.46,-0.257794952
20.33,227.48,-0.257809906
20.33,227.49,-0.257825623
20.34,227.51,-0.257840698
20.34,227.53,-0.257855011
20.34,227.54,-0.257869049
20.34,227.56,-0.257883575
20.34,227.57,-0.25789798
20.34,227.59,-0.257911896
20.35,227.61,-0.257925446
20.35,227.63,-0.257938171
20.35,227.64,-0.257949249
20.35,227.66,-0.257961304
20.35,227.68,-0.257973724
20.36,227.69,-0.257986572
20.36,227.71,-0.25799884
20.36,227.72,-0.258010407
20.36,227.74,-0.258023102
20.36,227.76,-0.258036194
20.36,227.78,-0.25804895
20.37,227.79,-0.258060883
20.37,227.81,-0.258073731
20.37,227.83,-0.258087555
20.37,227.84,-0.2581008
20.37,227.86,-0.258113129
20.37,227.88,-0.258124603
20.38,227.89,-0.258135681
20.38,227.91,-0.258145844
20.38,227.92,-0.258156891
20.38,227.94,-0.258166901
20.38,227.96,-0.258175964
20.38,227.98,-0.258185455
20.38,227.99,-0.258195221
20.39,228.01,-0.258206696
20.39,228.02,-0.258217835
20.39,228.04,-0.258229096
20.39,228.06,-0.258240112
20.39,228.08,-0.258251923
20.39,228.09,-0.258264191
20.4,228.11,-0.258276581
20.4,228.13,-0.258287994
20.4,228.14,-0.258300049
20.4,228.16,-0.258312317
20.4,228.18,-0.258323273
20.41,228.19,-0.258333038
20.41,228.21,-0.25834314
20.41,228.22,-0.258353394
20.41,228.24,-0.258363434
20.41,228.26,-0.258372864
20.41,228.28,-0.258382538
20.42,228.29,-0.258392456
20.42,228.31,-0.258403229
20.42,228.32,-0.258414185
20.42,228.34,-0.258423706
20.42,228.36,-0.258434998
20.42,228.38,-0.258445038
20.43,228.39,-0.258454865
20.43,228.41,-0.258465179
20.43,228.43,-0.258474762
20.43,228.44,-0.258483826
20.43,228.46,-0.258492737
20.43,228.47,-0.258502075
20.43,228.49,-0.258512451
20.44,228.51,-0.258521912
20.44,228.53,-0.25853006
20.44,228.54,-0.258538361
20.44,228.56,-0.258546783
20.44,228.57,-0.258554382
20.44,228.59,-0.258562622
20.45,228.61,-0.25857019
20.45,228.63,-0.258578125
20.45,228.64,-0.258585602
20.45,228.66,-0.258593811
20.45,228.67,-0.25860141
20.46,228.69,-0.258609467
20.46,228.71,-0.258617584
20.46,228.72,-0.258627014
20.46,228.74,-0.258637116
20.46,228.76,-0.2586474
20.46,228.78,-0.258657471
20.47,228.79,-0.258666596
20.47,228.81,-0.258676025
20.47,228.82,-0.258685303
20.47,228.84,-0.258693909
20.47,228.86,-0.25870285
20.47,228.87,-0.258711853
20.48,228.89,-0.258721558
20.48,228.91,-0.258730927
20.48,228.92,-0.258741028
20.48,228.94,-0.258751251
20.48,228.96,-0.25876062
20.48,228.97,-0.258768768
20.48,228.99,-0.258777435
20.49,229.01,-0.258786102
20.49,229.02,-0.258794251
20.49,229.04,-0.258801697
20.49,229.06,-0.25880957
20.49,229.07,-0.25881778
20.49,229.09,-0.258825195
20.5,229.11,-0.258833984
20.5,229.12,-0.258842896
20.5,229.14,-0.258850952
20.5,229.16,-0.258858185
20.5,229.17,-0.258865692
20.51,229.19,-0.258872894
20.51,229.21,-0.258880219
20.51,229.22,-0.258887207
20.51,229.24,-0.258895477
20.51,229.26,-0.258903534
20.51,229.28,-0.258911163
20.52,229.29,-0.258919739
20.52,229.31,-0.258927795
20.52,229.32,-0.258937103
20.52,229.34,-0.25894635
20.52,229.36,-0.258956665
20.52,229.37,-0.258966217
20.53,229.39,-0.258975708
20.53,229.41,-0.258983795
20.53,229.42,-0.258991547
20.53,229.44,-0.258999146
20.53,229.46,-0.259006409
20.53,229.47,-0.259013184
20.53,229.49,-0.259018921
20.54,229.51,-0.259024048
20.54,229.52,-0.259029541
20.54,229.54,-0.259036133
20.54,229.56,-0.259043152
20.54,229.57,-0.259051575
20.54,229.59,-0.259060425
20.55,229.61,-0.259067963
20.55,229.62,-0.259076904
20.55,229.64,-0.259086487
20.55,229.66,-0.259095764
20.55,229.67,-0.259104767
20.56,229.69,-0.259111847
20.56,229.71,-0.259118622
20.56,229.72,-0.259126465
20.56,229.74,-0.259132935
20.56,229.76,-0.259140411
20.56,229.77,-0.259147766
20.57,229.79,-0.259156006
20.57,229.81,-0.259164368
20.57,229.82,-0.259173126
20.57,229.84,-0.259182953
20.57,229.86,-0.259193634
20.57,229.88,-0.259203674
20.58,229.89,-0.259213501
20.58,229.91,-0.259222931
20.58,229.93,-0.259231537
20.58,229.94,-0.259239288
20.58,229.96,-0.259246796
20.58,229.98,-0.259256012
20.58,229.99,-0.259264893
20.59,230.01,-0.25927298
20.59,230.03,-0.259281464
20.59,230.04,-0.259290527
20.59,230.06,-0.259299561
20.59,230.08,-0.259309143
20.59,230.09,-0.259318787
20.6,230.11,-0.259328369
20.6,230.12,-0.259338379
20.6,230.14,-0.259348053
20.6,230.16,-0.259357971
20.6,230.18,-0.259367767
20.61,230.19,-0.259377441
20.61,230.21,-0.259387116
20.61,230.23,-0.259397095
20.61,230.24,-0.259407013
20.61,230.26,-0.259416229
20.61,230.28,-0.259425018
20.62,230.29,-0.259433746
20.62,230.31,-0.259442627
20.62,230.33,-0.259451508
20.62,230.34,-0.259461426
20.62,230.36,-0.25947168
20.62,230.38,-0.259481354
20.63,230.39,-0.259491394
20.63,230.41,-0.25950119
20.63,230.43,-0.25951181
20.63,230.44,-0.25952298
20.63,230.46,-0.259533783
20.63,230.48,-0.259544342
20.63,230.49,-0.259553833
20.64,230.51,-0.259562653
20.64,230.53,-0.259572662
20.64,230.54,-0.259582977
20.64,230.56,-0.259593536
20.64,230.58,-0.259604828
20.64,230.59,-0.259616699
20.65,230.61,-0.259627716
20.65,230.63,-0.259639465
20.65,230.64,-0.259651947
20.65,230.66,-0.259665222
20.65,230.68,-0.259676849
20.66,230.69,-0.259688355
20.66,230.71,-0.259699738
20.66,230.73,-0.259710144
20.66,230.74,-0.259719849
20.66,230.76,-0.259728851
20.66,230.78,-0.259738617
20.67,230.79,-0.259748322
20.67,230.81,-0.259757233
20.67,230.83,-0.259766724
20.67,230.84,-0.259777161
20.67,230.86,-0.259786713
20.67,230.88,-0.259797333
20.68,230.89,-0.259806702
20.68,230.91,-0.259816284
20.68,230.93,-0.259825531
20.68,230.94,-0.259833557
20.68,230.96,-0.259842163
20.68,230.98,-0.259850952
20.68,230.99,-0.259858765
20.69,231.01,-0.259867401
20.69,231.03,-0.259875641
20.69,231.04,-0.259884857
20.69,231.06,-0.259895081
20.69,231.08,-0.259903931
20.69,231.09,-0.259914246
20.7,231.11,-0.259924255
20.7,231.13,-0.259934296
20.7,231.14,-0.259944641
20.7,231.16,-0.259954529
20.7,231.18,-0.259964539
20.71,231.19,-0.259975769
20.71,231.21,-0.259986603
20.71,231.23,-0.259997192
20.71,231.24,-0.260009583
20.71,231.26,-0.260021393
20.71,231.27,-0.260033234
20.72,231.29,-0.260043884
20.72,231.31,-0.260054565
20.72,231.33,-0.260064758
20.72,231.34,-0.260074738
20.72,231.36,-0.260084106
20.72,231.38,-0.260094727
20.73,231.39,-0.260106232
20.73,231.41,-0.26011676
20.73,231.43,-0.260126617
20.73,231.44,-0.260137878
20.73,231.46,-0.260149811
20.73,231.47,-0.260160523
20.73,231.49,-0.260170898
20.74,231.51,-0.260181488
20.74,231.53,-0.260192139
20.74,231.54,-0.260202179
20.74,231.56,-0.260212647
20.74,231.58,-0.260223602
20.74,231.59,-0.260234375
20.75,231.61,-0.260244934
20.75,231.63,-0.260254913
20.75,231.64,-0.260264282
20.75,231.66,-0.260273865
20.75,231.68,-0.260282776
20.76,231.69,-0.260290985
20.76,231.71,-0.260299988
20.76,231.72,-0.260308197
20.76,231.74,-0.260317139
20.76,231.76,-0.260326935
20.76,231.78,-0.26033725
20.77,231.79,-0.260348023
20.77,231.81,-0.260359467
20.77,231.83,-0.26037088
20.77,231.84,-0.260381104
20.77,231.86,-0.260390137
20.77,231.88,-0.260399323
20.78,231.89,-0.260409271
20.78,231.91,-0.260418732
20.78,231.93,-0.260428223
20.78,231.94,-0.260436462
20.78,231.96,-0.260446289
20.78,231.98,-0.260457184
20.78,231.99,-0.260468018
20.79,232.01,-0.260478577
20.79,232.03,-0.260489014
20.79,232.04,-0.260500153
20.79,232.06,-0.260511505
20.79,232.08,-0.260522888
20.79,232.09,-0.260534546
20.8,232.11,-0.260546234
20.8,232.13,-0.260556091
20.8,232.14,-0.260566101
20.8,232.16,-0.260575226
20.8,232.18,-0.26058432
20.81,232.19,-0.260594849
20.81,232.21,-0.260605408
20.81,232.23,-0.260616699
20.81,232.24,-0.260629028
20.81,232.26,-0.260641083
20.81,232.28,-0.260653931
20.82,232.29,-0.260666473
20.82,232.31,-0.260678589
20.82,232.33,-0.260690033
20.82,232.34,-0.260700928
20.82,232.36,-0.26071106
20.82,232.38,-0.260719849
20.83,232.39,-0.26072821
20.83,232.41,-0.260737976
20.83,232.43,-0.260748413
20.83,232.44,-0.260758728
20.83,232.46,-0.260770508
20.83,232.48,-0.260782349
20.83,232.49,-0.260793182
20.84,232.51,-0.26080304
20.84,232.52,-0.260811981
20.84,232.54,-0.260821808
20.84,232.56,-0.260831818
20.84,232.58,-0.260841248
20.84,232.59,-0.260852631
20.85,232.61,-0.260863159
20.85,232.63,-0.260873535
20.85,232.64,-0.260885071
20.85,232.66,-0.260897278
20.85,232.68,-0.260909485
20.86,232.69,-0.260921265
20.86,232.71,-0.26093277
20.86,232.73,-0.260945038
20.86,232.74,-0.260956818
20.86,232.76,-0.260968353
20.86,232.78,-0.260980347
20.87,232.79,-0.260991425
20.87,232.81,-0.26100293
20.87,232.83,-0.261015381
20.87,232.84,-0.261027283
20.87,232.86,-0.261040527
20.87,232.88,-0.261052429
20.88,232.89,-0.261065399
20.88,232.91,-0.26107843
20.88,232.93,-0.261090668
20.88,232.94,-0.26110257
20.88,232.96,-0.261113678
20.88,232.98,-0.261124573
20.88,232.99,-0.261135468
20.89,233.01,-0.261147461
20.89,233.03,-0.26115863
20.89,233.04,-0.261169525
20.89,233.06,-0.261178925
20.89,233.08,-0.261188721
20.89,233.09,-0.261197998
20.9,233.11,-0.26120639
20.9,233.13,-0.261215881
20.9,233.14,-0.261225281
20.9,233.16,-0.261234253
20.9,233.17,-0.261244293
20.91,233.19,-0.261253449
20.91,233.21,-0.261263519
20.91,233.22,-0.261274078
20.91,233.24,-0.261283386
20.91,233.26,-0.261294098
20.91,233.28,-0.261305054
20.92,233.29,-0.261315704
20.92,233.31,-0.261325745
20.92,233.32,-0.261335266
20.92,233.34,-0.261344544
20.92,233.36,-0.261354431
20.92,233.37,-0.261365295
20.93,233.39,-0.261376587
20.93,233.41,-0.261386536
20.93,233.42,-0.261397339
20.93,233.44,-0.261408051
20.93,233.46,-0.261417755
20.93,233.48,-0.261428375
20.93,233.49,-0.261438873
20.94,233.51,-0.261448669
20.94,233.52,-0.26145871
20.94,233.54,-0.261469025
20.94,233.56,-0.261478821
20.94,233.57,-0.261489624
20.94,233.59,-0.261499298
20.95,233.61,-0.261508087
20.95,233.62,-0.261515289
20.95,233.64,-0.261522766
20.95,233.66,-0.261529968
20.95,233.67,-0.26153775
20.96,233.69,-0.261546356
20.96,233.71,-0.261556122
20.96,233.72,-0.261566467
20.96,233.74,-0.261577301
20.96,233.76,-0.261588471
20.96,233.77,-0.261599487
20.97,233.79,-0.261610107
20.97,233.81,-0.261619537
20.97,233.82,-0.261628265
20.97,233.84,-0.261636383
20.97,233.86,-0.261644531
20.97,233.87,-0.261652679
20.98,233.89,-0.2616604
20.98,233.91,-0.261668396
20.98,233.92,-0.261677185
20.98,233.94,-0.261686005
20.98,233.96,-0.26169574
20.98,233.97,-0.261705414
20.98,233.99,-0.261716034
20.99,234.01,-0.261727295
20.99,234.02,-0.261738068
20.99,234.04,-0.261748474
20.99,234.06,-0.261759216
20.99,234.07,-0.261769928
20.99,234.09,-0.261781281
21,234.11,-0.261792786
21,234.13,-0.261803589
21,234.14,-0.261814179
21,234.16,-0.261823639
21,234.17,-0.261832703
21.01,234.19,-0.261842926
21.01,234.21,-0.261852783
21.01,234.22,-0.261863007
21.01,234.24,-0.261872009
21.01,234.26,-0.261880707
21.01,234.27,-0.261889648
21.02,234.29,-0.261899872
21.02,234.31,-0.261910187
21.02,234.33,-0.26192038
21.02,234.34,-0.261930328
21.02,234.36,-0.261940613
21.02,234.38,-0.26195047
21.03,234.39,-0.261960815
21.03,234.41,-0.26197229
21.03,234.43,-0.261984528
21.03,234.44,-0.261995972
21.03,234.46,-0.262006744
21.03,234.47,-0.262017365
21.03,234.49,-0.26202948
21.04,234.51,-0.262041016
21.04,234.53,-0.26205188
21.04,234.54,-0.262061096
21.04,234.56,-0.262071075
21.04,234.57,-0.26207962
21.04,234.59,-0.262089325
21.05,234.61,-0.262100983
21.05,234.63,-0.262112885
21.05,234.64,-0.262125671
21.05,234.66,-0.262138306
21.05,234.68,-0.262150269
21.06,234.69,-0.262161438
21.06,234.71,-0.262171753
21.06,234.73,-0.262182922
21.06,234.74,-0.262194702
21.06,234.76,-0.262205414
21.06,234.78,-0.262215149
21.07,234.79,-0.262224274
21.07,234.81,-0.26223523
21.07,234.83,-0.26224704
21.07,234.84,-0.262259979
21.07,234.86,-0.262272705
21.07,234.88,-0.262285248
21.08,234.89,-0.262296722
21.08,234.91,-0.262308044
21.08,234.92,-0.262319855
21.08,234.94,-0.262331451
21.08,234.96,-0.262342896
21.08,234.98,-0.262354553
21.08,234.99,-0.262365692
21.09,235.01,-0.262378326
21.09,235.03,-0.262389313
21.09,235.04,-0.262401062
21.09,235.06,-0.262413422
21.09,235.08,-0.262425171
21.09,235.09,-0.262437042
21.1,235.11,-0.262448975
21.1,235.13,-0.262460663
21.1,235.14,-0.262472168
21.1,235.16,-0.262484314
21.1,235.18,-0.262495544
21.11,235.19,-0.262505798
21.11,235.21,-0.262516419
21.11,235.23,-0.262527771
21.11,235.24,-0.262539887
21.11,235.26,-0.262551392
21.11,235.28,-0.262563324
21.12,235.29,-0.262575562
21.12,235.31,-0.262588074
21.12,235.33,-0.26260022
21.12,235.34,-0.262611542
21.12,235.36,-0.262622803
21.12,235.38,-0.26263327
21.13,235.39,-0.262643402
21.13,235.41,-0.262653595
21.13,235.43,-0.262664276
21.13,235.44,-0.262675476
21.13,235.46,-0.262687073
21.13,235.48,-0.262698639
21.13,235.49,-0.262709747
21.14,235.51,-0.262721527
21.14,235.53,-0.262732636
21.14,235.54,-0.262744843
21.14,235.56,-0.262756195
21.14,235.58,-0.262766876
21.14,235.59,-0.262778137
21.15,235.61,-0.26278894
21.15,235.63,-0.262799591
21.15,235.64,-0.262809692
21.15,235.66,-0.262821899
21.15,235.67,-0.262832489
21.16,235.69,-0.262844299
21.16,235.71,-0.262856567
21.16,235.72,-0.262869904
21.16,235.74,-0.26288269
21.16,235.76,-0.262894592
21.16,235.78,-0.262905792
21.17,235.79,-0.262916046
21.17,235.81,-0.262925476
21.17,235.83,-0.262934601
21.17,235.84,-0.26294397
21.17,235.86,-0.262953033
21.17,235.87,-0.262961823
21.18,235.89,-0.262969879
21.18,235.91,-0.262978272
21.18,235.92,-0.262987763
21.18,235.94,-0.26299707
21.18,235.96,-0.2630065
21.18,235.97,-0.263015778
21.18,235.99,-0.263025452
21.19,236.01,-0.263035828
21.19,236.02,-0.26304538
21.19,236.04,-0.263054352
21.19,236.06,-0.263063599
21.19,236.08,-0.263072174
21.19,236.09,-0.263081207
21.2,236.11,-0.263091187
21.2,236.12,-0.263101044
21.2,236.14,-0.263110626
21.2,236.16,-0.263120361
21.2,236.17,-0.263130402
21.21,236.19,-0.263139862
21.21,236.21,-0.263148529
21.21,236.23,-0.263157532
21.21,236.24,-0.263167786
21.21,236.26,-0.263177429
21.21,236.28,-0.263186188
21.22,236.29,-0.263194061
21.22,236.31,-0.263202362
21.22,236.33,-0.263210419
21.22,236.34,-0.26321814
21.22,236.36,-0.263226135
21.22,236.38,-0.263233429
21.23,236.39,-0.263241638
21.23,236.41,-0.263248871
21.23,236.43,-0.263257507
21.23,236.44,-0.263265961
21.23,236.46,-0.263275513
21.23,236.47,-0.263284576
21.23,236.49,-0.263293335
21.24,236.51,-0.263302612
21.24,236.52,-0.26331131
21.24,236.54,-0.263320374
21.24,236.56,-0.263329254
21.24,236.57,-0.263337372
21.24,236.59,-0.263344452
21.25,236.61,-0.263351318
21.25,236.63,-0.263358643
21.25,236.64,-0.263367523
21.25,236.66,-0.26337558
21.25,236.68,-0.263383026
21.26,236.69,-0.263390747
21.26,236.71,-0.263398865
21.26,236.72,-0.26340741
21.26,236.74,-0.263415894
21.26,236.76,-0.263423981
21.26,236.78,-0.263432282
21.27,236.79,-0.263441284
21.27,236.81,-0.263451325
21.27,236.82,-0.263461334
21.27,236.84,-0.263470245
21.27,236.86,-0.263480164
21.27,236.88,-0.263491303
21.28,236.89,-0.263502106
21.28,236.91,-0.263512909
21.28,236.93,-0.263523285
21.28,236.94,-0.263533661
21.28,236.96,-0.263544342
21.28,236.98,-0.263554627
21.28,236.99,-0.263565094
21.29,237.01,-0.263575592
21.29,237.03,-0.263585449
21.29,237.04,-0.263595215
21.29,237.06,-0.26360495
21.29,237.08,-0.263615387
21.29,237.09,-0.263626312
21.3,237.11,-0.26363739
21.3,237.13,-0.263647919
21.3,237.14,-0.263658142
21.3,237.16,-0.263669678
21.3,237.18,-0.263680603
21.31,237.19,-0.263691803
21.31,237.21,-0.263702759
21.31,237.23,-0.263714172
21.31,237.24,-0.263725617
21.31,237.26,-0.263737
21.31,237.28,-0.263748779
21.32,237.29,-0.26376001
21.32,237.31,-0.26377124
21.32,237.33,-0.263782318
21.32,237.34,-0.263792969
21.32,237.36,-0.263802643
21.32,237.38,-0.263812439
21.33,237.39,-0.26382135
21.33,237.41,-0.263830566
21.33,237.43,-0.263839386
21.33,237.44,-0.263849274
21.33,237.46,-0.263859192
21.33,237.48,-0.263870239
21.33,237.49,-0.263883118
21.34,237.51,-0.26389566
21.34,237.53,-0.263908569
21.34,237.54,-0.26392099
21.34,237.56,-0.263932617
21.34,237.58,-0.263944672
21.34,237.59,-0.263955963
21.35,237.61,-0.263966766
21.35,237.63,-0.263977081
21.35,237.64,-0.263987518
21.35,237.66,-0.263997955
21.35,237.68,-0.264007904
21.36,237.69,-0.264018127
21.36,237.71,-0.26402832
21.36,237.72,-0.264039673
21.36,237.74,-0.264050293
21.36,237.76,-0.264061859
21.36,237.78,-0.264073792
21.37,237.79,-0.264085815
21.37,237.81,-0.26409729
21.37,237.83,-0.26410849
21.37,237.84,-0.264119629
21.37,237.86,-0.264130585
21.37,237.88,-0.264141174
21.38,237.89,-0.264151733
21.38,237.91,-0.264163055
21.38,237.92,-0.264175537
21.38,237.94,-0.264186523
21.38,237.96,-0.264198456
21.38,237.97,-0.264210724
21.38,237.99,-0.264221466
21.39,238.01,-0.264233978
21.39,238.03,-0.264244812
21.39,238.04,-0.26425528
21.39,238.06,-0.264264679
21.39,238.07,-0.264273804
21.39,238.09,-0.264282471
21.4,238.11,-0.264291748
21.4,238.12,-0.264299957
21.4,238.14,-0.264309876
21.4,238.16,-0.26431955
21.4,238.17,-0.264329041
21.41,238.19,-0.264339081
21.41,238.21,-0.264349487
21.41,238.22,-0.264359802
21.41,238.24,-0.264368683
21.41,238.26,-0.264379181
21.41,238.28,-0.264388733
21.42,238.29,-0.26439743
21.42,238.31,-0.264406952
21.42,238.32,-0.26441568
21.42,238.34,-0.264425049
21.42,238.36,-0.264436127
21.42,238.38,-0.264447449
21.43,238.39,-0.264459259
21.43,238.41,-0.264470947
21.43,238.43,-0.264482025
21.43,238.44,-0.264493744
21.43,238.46,-0.264504761
21.43,238.48,-0.264516266
21.43,238.49,-0.264527588
21.44,238.51,-0.264538025
21.44,238.53,-0.264549072
21.44,238.54,-0.264559601
21.44,238.56,-0.264570252
21.44,238.58,-0.264581177
21.44,238.59,-0.264592377
21.45,238.61,-0.26460257
21.45,238.63,-0.264612701
21.45,238.64,-0.264622437
21.45,238.66,-0.264632568
21.45,238.68,-0.264642365
21.46,238.69,-0.264652008
21.46,238.71,-0.264663086
21.46,238.73,-0.26467453
21.46,238.74,-0.264686737
21.46,238.76,-0.264699646
21.46,238.77,-0.264712128
21.47,238.79,-0.264724304
21.47,238.81,-0.26473642
21.47,238.83,-0.264748352
21.47,238.84,-0.264759735
21.47,238.86,-0.264769623
21.47,238.88,-0.26477948
21.48,238.89,-0.264790497
21.48,238.91,-0.264801544
21.48,238.93,-0.264813507
21.48,238.94,-0.264826233
21.48,238.96,-0.264839233
21.48,238.98,-0.264852356
21.48,238.99,-0.264865387
21.49,239.01,-0.264877228
21.49,239.03,-0.264888123
21.49,239.04,-0.264898682
21.49,239.06,-0.264908936
21.49,239.08,-0.264919495
21.49,239.09,-0.264930206
21.5,239.11,-0.26494046
21.5,239.12,-0.264951599
21.5,239.14,-0.264963684
21.5,239.16,-0.264975647
21.5,239.18,-0.264986939
21.51,239.19,-0.264999207
21.51,239.21,-0.265010925
21.51,239.23,-0.265021942
21.51,239.24,-0.265033691
21.51,239.26,-0.265045136
21.51,239.28,-0.265057129
21.52,239.29,-0.265068695
21.52,239.31,-0.265080048
21.52,239.32,-0.265092194
21.52,239.34,-0.265104187
21.52,239.36,-0.265116638
21.52,239.37,-0.265130646
21.53,239.39,-0.265144287
21.53,239.41,-0.265157135
21.53,239.42,-0.265169342
21.53,239.44,-0.265180512
21.53,239.46,-0.265191864
21.53,239.47,-0.265202179
21.53,239.49,-0.265212463
21.54,239.51,-0.265223846
21.54,239.52,-0.265235169
21.54,239.54,-0.265246277
21.54,239.56,-0.265256805
21.54,239.57,-0.265266693
21.54,239.59,-0.265277283
21.55,239.61,-0.265287445
21.55,239.63,-0.265296692
21.55,239.64,-0.265306976
21.55,239.66,-0.265316864
21.55,239.67,-0.265326935
21.56,239.69,-0.265338532
21.56,239.71,-0.265350525
